file,reference,speed,command_df,step_width,period,gait,perturbation_h,cycle_rms,periodic_orbit_gate_pass,terminated,hybrid_topology_gate_pass,achieved_df,df_max_abs_error,achieved_stance_width,stance_width_abs_error,stance_foot_lateral_mae,all_phase_foot_lateral_mae,forward_speed,speed_abs_error,lateral_rmse,max_lateral_deviation,heading_rmse_rad,max_abs_heading_rad,world_lateral_velocity_rmse,body_yaw_rate_rmse,stance_recall_min,swing_recall_min,nominal_failure,command_gate_pass,df_FL,stance_samples_FL,stance_y_FL,stance_recall_FL,swing_recall_FL,df_FR,stance_samples_FR,stance_y_FR,stance_recall_FR,swing_recall_FR,df_RL,stance_samples_RL,stance_y_RL,stance_recall_RL,swing_recall_RL,df_RR,stance_samples_RR,stance_y_RR,stance_recall_RR,swing_recall_RR,initial_rank,initial_condition_number,initial_stencil_max_error,initial_stencil_relative_error,zero_clone_input_max_error,zero_clone_output_max_error,zero_clone_noise_fraction_of_h,settle_group_rms,pre_restore_group_rms,restore_readback_max_error,requested_stencil_member_max_error,settle_terminated,numerical_gate_pass,chi_augmented,chi_physical_conditional,chi_orbital_physical,chi_orbital_augmented,rank_physical,rank_orbital_physical,rank_orbital_augmented,fit_relative_residual,translation_x_identity_residual,translation_y_identity_residual,translation_identity_residual_max,translation_cross_coupling_max,translation_symmetry_gate_pass,finite_difference_primary_matrix_error,finite_difference_primary_chi_error,finite_difference_full_matrix_error,finite_difference_full_chi_error,finite_difference_gate_pass,finite_difference_gate_evaluated,reference_valid,rank_gate_pass
stability_s0.300_d0.625_v0.300_trot_p0.48_h0.005.npz,0,0.3,0.625,0.3,0.48,trot,0.005,0.0013737911106572443,1,0,1,0.625,0.0,0.2873592113455137,0.012640788654486312,0.006698307543992992,0.006368393730372186,0.30554933721820515,0.005549337218205164,0.00032873971230057745,0.0005035400390625,0.005435932026615197,0.006094165612012148,0.004253941913019488,0.012441980242955621,1.0,1.0,0,1,0.625,15,0.1440123458703359,1.0,1.0,0.625,15,-0.15046966274579365,1.0,1.0,0.625,15,0.14236271580060322,1.0,1.0,0.625,15,-0.13787369827429455,1.0,1.0,48,1.0082692307692307,4.0893554687500104e-05,0.001183175205217273,5.421010862427522e-19,0.015980100631713866,3.196020126342773,0.005415195008280692,0.005415195008280692,6.103515625022204e-05,5.507747036226363e-16,0,0,5.909419052459959,5.424862450219878,5.409824662701948,5.891602569520578,36,34,46,2.971545960750373e-16,0.9652094239343506,0.7414163156225467,0.9652094239343506,0.929100029699588,0,nan,nan,nan,nan,0,0,0,1
stability_s0.300_d0.625_v0.300_trot_p0.48_h0.010.npz,0,0.3,0.625,0.3,0.48,trot,0.01,0.0013737911106572443,1,0,1,0.625,0.0,0.2873592113455137,0.012640788654486312,0.006698307543992992,0.006368393730372186,0.30554933721820515,0.005549337218205164,0.00032873971230057745,0.0005035400390625,0.005435932026615197,0.006094165612012148,0.004253941913019488,0.012441980242955621,1.0,1.0,0,1,0.625,15,0.1440123458703359,1.0,1.0,0.625,15,-0.15046966274579365,1.0,1.0,0.625,15,0.14236271580060322,1.0,1.0,0.625,15,-0.13787369827429455,1.0,1.0,48,1.000549985878689,5.493164062500208e-06,0.00011214629456147343,5.421010862427522e-19,0.015980100631713866,1.5980100631713865,0.005415195008280692,0.005415195008280692,6.103515625022204e-05,2.1337098754514727e-16,0,0,4.931033252630961,4.4068811973636945,4.385866850254289,4.910680050860461,36,34,46,1.2630202754332114e-16,0.5324161210671842,0.48632724100270985,0.5324161210671842,0.5319233788900538,0,nan,nan,nan,nan,0,0,0,1
stability_s0.300_d0.625_v0.300_trot_p0.48_h0.025.npz,0,0.3,0.625,0.3,0.48,trot,0.025,0.0013737911106572443,1,0,1,0.625,0.0,0.2873592113455137,0.012640788654486312,0.006698307543992992,0.006368393730372186,0.30554933721820515,0.005549337218205164,0.00032873971230057745,0.0005035400390625,0.005435932026615197,0.006094165612012148,0.004253941913019488,0.012441980242955621,1.0,1.0,0,1,0.625,15,0.1440123458703359,1.0,1.0,0.625,15,-0.15046966274579365,1.0,1.0,0.625,15,0.14236271580060322,1.0,1.0,0.625,15,-0.13787369827429455,1.0,1.0,48,1.0002253087709378,5.340576171873612e-06,3.270581095640012e-05,5.421010862427522e-19,0.015980100631713866,0.6392040252685546,0.005415195008280692,0.005415195008280692,6.103515625022204e-05,5.342948306008566e-16,0,0,3.0530239303670035,2.704287637493825,2.661752235804871,3.0159832646916636,36,34,46,1.196715827229001e-16,0.19359950708787915,0.5198539373939647,0.5198539373939647,0.5197321271372051,0,1.5804808037562277,0.23199126722416472,1.4155166912704595,0.2386957562013964,0,1,0,1
stability_s0.300_d0.625_v0.300_trot_p0.48_h0.050.npz,0,0.3,0.625,0.3,0.48,trot,0.05,0.0013737911106572443,1,0,1,0.625,0.0,0.2873592113455137,0.012640788654486312,0.006698307543992992,0.006368393730372186,0.30554933721820515,0.005549337218205164,0.00032873971230057745,0.0005035400390625,0.005435932026615197,0.006094165612012148,0.004253941913019488,0.012441980242955621,1.0,1.0,0,1,0.625,15,0.1440123458703359,1.0,1.0,0.625,15,-0.15046966274579365,1.0,1.0,0.625,15,0.14236271580060322,1.0,1.0,0.625,15,-0.13787369827429455,1.0,1.0,48,1.000603497445201,2.7465820312502776e-05,8.39968682190351e-05,5.421010862427522e-19,0.015980100631713866,0.3196020126342773,0.005415195008280692,0.005415195008280692,6.103515625022204e-05,1.8041124150158794e-16,0,0,2.4647084767041214,2.202543875363008,2.1810683215271833,2.4480557167317127,36,34,46,1.718662322026121e-16,0.0911566838573142,0.3126768721486158,0.3126768721486158,0.312494276808332,0,1.5804808037562277,0.23199126722416472,1.4155166912704595,0.2386957562013964,0,1,0,1
stability_s0.300_d0.625_v0.300_trot_p0.48_h0.100.npz,0,0.3,0.625,0.3,0.48,trot,0.1,0.0013737911106572443,1,0,0,0.625,0.0,0.2873592113455137,0.012640788654486312,0.006698307543992992,0.006368393730372186,0.30554933721820515,0.005549337218205164,0.00032873971230057745,0.0005035400390625,0.005435932026615197,0.006094165612012148,0.004253941913019488,0.012441980242955621,1.0,1.0,0,1,0.625,15,0.1440123458703359,1.0,1.0,0.625,15,-0.15046966274579365,1.0,1.0,0.625,15,0.14236271580060322,1.0,1.0,0.625,15,-0.13787369827429455,1.0,1.0,48,1.0004371439137607,3.814697265625e-05,6.319332760081016e-05,5.421010862427522e-19,0.015980100631713866,0.15980100631713864,0.005415195008280692,0.005415195008280692,6.103515625022204e-05,8.326672684688674e-17,0,0,2.0660388458464154,1.900511845392534,1.8730394992102635,2.0436778663382165,36,34,46,8.161694097982597e-17,0.024878386765308114,0.06485822662718163,0.06485822662718163,0.0648557025874958,0,1.5804808037562277,0.23199126722416472,1.4155166912704595,0.2386957562013964,0,1,0,1
