speed,command_df,step_width,period,gait,perturbation_h,references,valid_references,reference_valid_rate,periodic_orbit_gate_pass_rate,command_gate_pass_rate,hybrid_topology_gate_pass_rate,translation_symmetry_gate_pass_rate,numerical_gate_pass_rate,rank_gate_pass_rate,finite_difference_gate_pass_rate,chi_augmented_diagnostic_median,chi_augmented_median,chi_augmented_q025,chi_augmented_q975,chi_physical_conditional_diagnostic_median,chi_physical_conditional_median,chi_physical_conditional_q025,chi_physical_conditional_q975,chi_orbital_physical_diagnostic_median,chi_orbital_physical_median,chi_orbital_physical_q025,chi_orbital_physical_q975,chi_orbital_augmented_diagnostic_median,chi_orbital_augmented_median,chi_orbital_augmented_q025,chi_orbital_augmented_q975
0.3,0.625,0.3,0.48,trot,0.005,1,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,5.909419052459959,nan,nan,nan,5.424862450219878,nan,nan,nan,5.409824662701948,nan,nan,nan,5.891602569520578,nan,nan,nan
0.3,0.625,0.3,0.48,trot,0.01,1,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,4.931033252630961,nan,nan,nan,4.4068811973636945,nan,nan,nan,4.385866850254289,nan,nan,nan,4.910680050860461,nan,nan,nan
0.3,0.625,0.3,0.48,trot,0.025,1,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0530239303670035,nan,nan,nan,2.704287637493825,nan,nan,nan,2.661752235804871,nan,nan,nan,3.0159832646916636,nan,nan,nan
0.3,0.625,0.3,0.48,trot,0.05,1,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.4647084767041214,nan,nan,nan,2.202543875363008,nan,nan,nan,2.1810683215271833,nan,nan,nan,2.4480557167317127,nan,nan,nan
0.3,0.625,0.3,0.48,trot,0.1,1,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0660388458464154,nan,nan,nan,1.900511845392534,nan,nan,nan,1.8730394992102635,nan,nan,nan,2.0436778663382165,nan,nan,nan
