speed,command_df,step_width,period,gait,reference,h_low,h_high,primary_matrix_relative_difference,primary_chi_relative_difference,full_matrix_relative_difference,full_chi_relative_difference
0.3,0.625,0.3,0.48,trot,0,0.005,0.01,0.9769238860021029,0.16649502526439738,0.9720758222876236,0.16556378742876898
0.3,0.625,0.3,0.48,trot,0,0.01,0.025,1.1204920533871598,0.3858318535406932,1.094270547457012,0.3808551323927784
0.3,0.625,0.3,0.48,trot,0,0.025,0.05,1.1540211687706332,0.18830593478707927,1.0806484213103562,0.19269926049749658
0.3,0.625,0.3,0.48,trot,0,0.05,0.1,0.6761336283165773,0.1651832708012719,0.613673796965817,0.1617512312818506
