policy,condition,command_width_m,command_df,trials,success,failure,timeout,success_rate,ci_low,ci_high,realized_df,realized_width_m,lateral_rmse_m,forward_speed_mps,mean_failure_time_s,mean_envelope_at_failure
narrow,nominal,0.05,0.5,64,64,0,0,1.0,0.9433759402071946,1.0,0.6778834729673022,0.05763625353574753,0.023173494264483452,0.3178878128528595,,
narrow,nominal,0.05,0.625,64,64,0,0,1.0,0.9433759402071946,1.0,0.718220029239766,0.05538563430309296,0.017442990094423294,0.3320411443710327,,
narrow,nominal,0.05,0.75,64,64,0,0,1.0,0.9433759402071946,1.0,0.7806430357871341,0.05475512892007828,0.003973220940679312,0.3180422782897949,,
narrow,nominal,0.06,0.5,64,64,0,0,1.0,0.9433759402071946,1.0,0.6784012360421727,0.06547234207391739,0.023915236815810204,0.31759440898895264,,
narrow,nominal,0.06,0.625,64,64,0,0,1.0,0.9433759402071946,1.0,0.7187941300504258,0.06322768330574036,0.016433846205472946,0.3312464952468872,,
narrow,nominal,0.06,0.75,64,64,0,0,1.0,0.9433759402071946,1.0,0.7814349539135804,0.06286443769931793,0.002487474586814642,0.31711286306381226,,
narrow,nominal,0.08,0.5,64,64,0,0,1.0,0.9433759402071946,1.0,0.6665321518337641,0.08174249529838562,0.020195912569761276,0.315409392118454,,
narrow,nominal,0.08,0.625,64,64,0,0,1.0,0.9433759402071946,1.0,0.7185875984992738,0.07955293357372284,0.013367689214646816,0.329804003238678,,
narrow,nominal,0.08,0.75,64,64,0,0,1.0,0.9433759402071946,1.0,0.7803216849303432,0.07962766289710999,0.0016668536700308323,0.31531643867492676,,
narrow,nominal,0.1,0.5,64,64,0,0,1.0,0.9433759402071946,1.0,0.6671681433515195,0.09857407212257385,0.01497119851410389,0.31643742322921753,,
narrow,nominal,0.1,0.625,64,64,0,0,1.0,0.9433759402071946,1.0,0.7173997400834362,0.09650567173957825,0.007856709882616997,0.32817336916923523,,
narrow,nominal,0.1,0.75,64,64,0,0,1.0,0.9433759402071946,1.0,0.7902890753360088,0.09740983694791794,0.005071721039712429,0.3138751983642578,,
narrow,perturbed,0.05,0.5,64,3,61,0,0.046875,0.016069016786292974,0.12899653740093686,0.6721072308365039,0.05545198917388916,0.10625186562538147,0.2836102843284607,8.621311475409836,0.8562065362930298
narrow,perturbed,0.05,0.625,64,11,53,0,0.171875,0.09877742301244645,0.282132116226582,0.7044148270274044,0.05735202506184578,0.11042115092277527,0.29324987530708313,9.34301886792453,0.9038528800010681
narrow,perturbed,0.05,0.75,64,5,59,0,0.078125,0.03383117690855046,0.17019537354162906,0.7545379561617407,0.05880869925022125,0.10517197847366333,0.28751546144485474,9.80237288135593,0.9204033613204956
narrow,perturbed,0.06,0.5,64,5,59,0,0.078125,0.03383117690855046,0.17019537354162906,0.6724012925713169,0.06341121345758438,0.10093454271554947,0.28837788105010986,9.214576271186441,0.903898298740387
narrow,perturbed,0.06,0.625,64,11,53,0,0.171875,0.09877742301244645,0.282132116226582,0.7057058563185458,0.06532862782478333,0.10719211399555206,0.2942900061607361,9.950943396226414,0.9312264919281006
narrow,perturbed,0.06,0.75,64,19,45,0,0.296875,0.19905151325539794,0.41770201103542925,0.7601537720455915,0.06632699072360992,0.09524942934513092,0.2903796136379242,10.307555555555556,0.9445199966430664
narrow,perturbed,0.08,0.5,64,14,50,0,0.21875,0.13502319406719474,0.3343278395662582,0.6708731687222282,0.07976390421390533,0.09937608242034912,0.29407331347465515,9.9508,0.9321759939193726
narrow,perturbed,0.08,0.625,64,28,36,0,0.4375,0.3229400970440308,0.5591379104300699,0.7080554423910215,0.08122768253087997,0.0924016609787941,0.3021465539932251,10.181111111111113,0.9369000196456909
narrow,perturbed,0.08,0.75,64,24,40,0,0.375,0.2666598017882464,0.497496213159955,0.7640542731331632,0.08278906345367432,0.0902927964925766,0.29524633288383484,11.033000000000001,0.9707499742507935
narrow,perturbed,0.1,0.5,64,18,46,0,0.28125,0.18593372333727837,0.40133930282207403,0.6685606236556539,0.09698563069105148,0.08952455222606659,0.2950742244720459,10.561739130434784,0.9594217538833618
narrow,perturbed,0.1,0.625,64,43,21,0,0.671875,0.549991058490915,0.7742944209553081,0.7100818822444153,0.09796060621738434,0.08858965337276459,0.30782169103622437,10.720952380952381,0.9675142168998718
