gait,speed,period,step_width,command_df,trials,valid_energy_trials,energy_valid_rate,energy_condition_valid,positive_mechanical_cot_median,finite_cot_trials,positive_mechanical_cot_median_all,periodic_rate,compliance_rate,achieved_df_mean,out_of_training_support
trot,0.35,0.48,0.5,0.5,32,0,0.0,0,,32,0.27754357125394724,0.4375,0.0,0.5476888020833335,0
trot,0.35,0.48,0.5,0.625,32,30,0.9375,1,0.2718380179937583,32,0.2718459788804368,0.9375,1.0,0.6180826822916666,0
trot,0.35,0.48,0.5,0.75,32,32,1.0,1,0.34331288522773196,32,0.34331288522773196,1.0,1.0,0.7395833333333334,0
trot,0.4,0.48,0.1,0.5,32,31,0.96875,1,0.1889922032237205,32,0.1889279257376391,1.0,0.96875,0.5312499999999999,0
trot,0.4,0.48,0.1,0.625,32,32,1.0,1,0.2359830240856276,32,0.2359830240856276,1.0,1.0,0.625,0
trot,0.4,0.48,0.1,0.75,32,0,0.0,0,,32,0.33079789904284107,1.0,0.0,0.7395833333333334,0
trot,0.4,0.48,0.2,0.5,32,29,0.90625,1,0.1845673663542832,32,0.1846117458638643,0.96875,0.90625,0.5210774739583333,0
trot,0.4,0.48,0.2,0.625,32,32,1.0,1,0.23573899559585954,32,0.23573899559585954,1.0,1.0,0.625,0
trot,0.4,0.48,0.2,0.75,32,0,0.0,0,,32,0.3203957202628791,1.0,0.0,0.7395833333333334,0
trot,0.4,0.48,0.3,0.5,32,0,0.0,0,,32,0.19611790331194814,1.0,0.0,0.53125,0
trot,0.4,0.48,0.3,0.625,32,32,1.0,1,0.2355830941401176,32,0.2355830941401176,1.0,1.0,0.6145833333333334,0
trot,0.4,0.48,0.3,0.75,32,0,0.0,0,,32,0.3118968429526532,1.0,0.0,0.7395833333333334,0
trot,0.4,0.48,0.4,0.5,32,0,0.0,0,,32,0.2209153700152384,0.0,0.0,0.5355631510416667,0
trot,0.4,0.48,0.4,0.625,32,32,1.0,1,0.241719654810145,32,0.241719654810145,1.0,1.0,0.6145833333333334,0
trot,0.4,0.48,0.4,0.75,32,0,0.0,0,,32,0.31747852365143747,1.0,0.0,0.7364908854166667,0
trot,0.4,0.48,0.5,0.5,32,0,0.0,0,,32,0.2621398458973986,0.375,0.0,0.5504557291666667,0
trot,0.4,0.48,0.5,0.625,32,32,1.0,1,0.25791145663454307,32,0.25791145663454307,1.0,1.0,0.6145833333333334,0
trot,0.4,0.48,0.5,0.75,32,0,0.0,0,,32,0.33769875940019256,1.0,0.0,0.7313639322916667,0
walk,0.25,0.48,0.1,0.75,32,0,0.0,0,,32,0.32883513376984175,1.0,0.0,0.7604166666666666,0
walk,0.25,0.48,0.1,0.8,32,32,1.0,1,0.38972790668425594,32,0.38972790668425594,1.0,1.0,0.8333333333333334,0
walk,0.25,0.48,0.1,0.85,32,32,1.0,1,0.4319075275397003,32,0.4319075275397003,1.0,1.0,0.8541666666666667,0
walk,0.25,0.48,0.1,0.9,32,0,0.0,0,,32,0.44653688798624647,1.0,0.0,0.8854166666666666,0
walk,0.25,0.48,0.2,0.75,32,0,0.0,0,,32,0.35076787254805564,1.0,0.0,0.7604166666666666,0
walk,0.25,0.48,0.2,0.8,32,32,1.0,1,0.41804344078168254,32,0.41804344078168254,1.0,1.0,0.8333333333333334,0
walk,0.25,0.48,0.2,0.85,32,32,1.0,1,0.459539135171553,32,0.459539135171553,1.0,1.0,0.8541666666666667,0
walk,0.25,0.48,0.2,0.9,32,0,0.0,0,,32,0.46572199860167385,1.0,0.0,0.8854166666666666,0
walk,0.25,0.48,0.3,0.75,32,0,0.0,0,,32,0.38341497235302446,1.0,0.0,0.7604166666666666,0
walk,0.25,0.48,0.3,0.8,32,32,1.0,1,0.4416629318851121,32,0.4416629318851121,1.0,1.0,0.8333333333333334,0
walk,0.25,0.48,0.3,0.85,32,32,1.0,1,0.4874102010256992,32,0.4874102010256992,1.0,1.0,0.8541666666666667,0
walk,0.25,0.48,0.3,0.9,32,0,0.0,0,,32,0.4887623072424191,1.0,0.0,0.8854166666666666,0
walk,0.25,0.48,0.4,0.75,32,0,0.0,0,,32,0.3948464127964004,1.0,0.0,0.7604166666666666,0
walk,0.25,0.48,0.4,0.8,32,32,1.0,1,0.46214460990783873,32,0.46214460990783873,1.0,1.0,0.8333333333333334,0
walk,0.25,0.48,0.4,0.85,32,32,1.0,1,0.5068092469644271,32,0.5068092469644271,1.0,1.0,0.8541666666666667,0
walk,0.25,0.48,0.4,0.9,32,0,0.0,0,,32,0.5161432922741085,1.0,0.0,0.8854166666666666,0
walk,0.25,0.48,0.5,0.75,32,0,0.0,0,,32,0.4178189806737322,1.0,0.0,0.7708333333333334,0
walk,0.25,0.48,0.5,0.8,32,32,1.0,1,0.46762381339943315,32,0.46762381339943315,1.0,1.0,0.8333333333333334,0
walk,0.25,0.48,0.5,0.85,32,29,0.90625,1,0.5152811446504189,32,0.5147832310457934,1.0,0.90625,0.8541666666666667,0
walk,0.25,0.48,0.5,0.9,32,0,0.0,0,,32,0.5223780515886942,1.0,0.0,0.8854166666666666,0
walk,0.3,0.48,0.1,0.75,32,0,0.0,0,,32,0.3200287979087465,1.0,0.0,0.7604166666666666,0
walk,0.3,0.48,0.1,0.8,32,32,1.0,1,0.37725198162777673,32,0.37725198162777673,1.0,1.0,0.8333333333333334,0
walk,0.3,0.48,0.1,0.85,32,32,1.0,1,0.4196501105406757,32,0.4196501105406757,1.0,1.0,0.8541666666666667,0
walk,0.3,0.48,0.1,0.9,32,0,0.0,0,,32,0.4313936896077525,1.0,0.0,0.8854166666666666,0
walk,0.3,0.48,0.2,0.75,32,0,0.0,0,,32,0.3378798047719417,1.0,0.0,0.7604166666666666,0
walk,0.3,0.48,0.2,0.8,32,32,1.0,1,0.40507334931570904,32,0.40507334931570904,1.0,1.0,0.8333333333333334,0
walk,0.3,0.48,0.2,0.85,32,32,1.0,1,0.44642666925013086,32,0.44642666925013086,1.0,1.0,0.8541666666666667,0
