file,trial,seed,step_width,command_df,period,gait,disturbed,success,failure,timeout,duration,traversal_time,course_distance,forward_distance,mean_speed,forward_speed,settled_body_forward_speed,command_speed,command_width,step_width_frame,achieved_width,foot_lateral_mae,world_achieved_width,world_foot_lateral_mae,body_achieved_width,body_foot_lateral_mae,heading_rmse_rad,max_abs_heading_rad,settled_samples,lateral_rmse,max_lateral_deviation,timing_accuracy,body_lateral_velocity_mean,body_lateral_velocity_rmse,body_yaw_rate_mean,body_yaw_rate_rmse,world_lateral_velocity_mean,world_lateral_velocity_rmse,applied_impulse,planned_force,planned_push_duration,planned_push_time,force2n_topology_fraction,force2n_topology_good_cycles,force2n_topology_cycles,force2n_df_FL,force2n_cycles_FL,force2n_stance_recall_FL,force2n_swing_recall_FL,force2n_df_FR,force2n_cycles_FR,force2n_stance_recall_FR,force2n_swing_recall_FR,force2n_df_RL,force2n_cycles_RL,force2n_stance_recall_RL,force2n_swing_recall_RL,force2n_df_RR,force2n_cycles_RR,force2n_stance_recall_RR,force2n_swing_recall_RR,force2n_world_achieved_width,force2n_world_foot_lateral_mae,force2n_body_achieved_width,force2n_body_foot_lateral_mae,force5n_topology_fraction,force5n_topology_good_cycles,force5n_topology_cycles,force5n_df_FL,force5n_cycles_FL,force5n_stance_recall_FL,force5n_swing_recall_FL,force5n_df_FR,force5n_cycles_FR,force5n_stance_recall_FR,force5n_swing_recall_FR,force5n_df_RL,force5n_cycles_RL,force5n_stance_recall_RL,force5n_swing_recall_RL,force5n_df_RR,force5n_cycles_RR,force5n_stance_recall_RR,force5n_swing_recall_RR,force5n_world_achieved_width,force5n_world_foot_lateral_mae,force5n_body_achieved_width,force5n_body_foot_lateral_mae,force10n_topology_fraction,force10n_topology_good_cycles,force10n_topology_cycles,force10n_df_FL,force10n_cycles_FL,force10n_stance_recall_FL,force10n_swing_recall_FL,force10n_df_FR,force10n_cycles_FR,force10n_stance_recall_FR,force10n_swing_recall_FR,force10n_df_RL,force10n_cycles_RL,force10n_stance_recall_RL,force10n_swing_recall_RL,force10n_df_RR,force10n_cycles_RR,force10n_stance_recall_RR,force10n_swing_recall_RR,force10n_world_achieved_width,force10n_world_foot_lateral_mae,force10n_body_achieved_width,force10n_body_foot_lateral_mae,df_FL,cycles_FL,schedule_df_FL,stance_recall_FL,swing_recall_FL,df_FR,cycles_FR,schedule_df_FR,stance_recall_FR,swing_recall_FR,df_RL,cycles_RL,schedule_df_RL,stance_recall_RL,swing_recall_RL,df_RR,cycles_RR,schedule_df_RR,stance_recall_RR,swing_recall_RR,achieved_df,df_max_abs_error,compliance_pass,force2n_achieved_df,force2n_df_max_abs_error,force2n_contact_pass,force2n_compliance_pass,force5n_achieved_df,force5n_df_max_abs_error,force5n_contact_pass,force5n_compliance_pass,force10n_achieved_df,force10n_df_max_abs_error,force10n_contact_pass,force10n_compliance_pass,force_df_span_FL,force_df_span_FR,force_df_span_RL,force_df_span_RR,force_df_span_pass,force_robust_trial_pass
trial_s0.100_d0.500_v0.300_trot_p0.48_nominal.npz,0,10000,0.1,0.5,0.48,trot,False,1,0,0,13.039999961853027,13.039999961853027,3.35,4.000650787353516,0.3074553906917572,0.3092886805534363,0.3089357614517212,0.30000001192092896,0.10000000149011612,body,0.13973776623606682,0.0200054218580524,0.1395892482250929,0.019922945314670416,0.13973776623606682,0.0200054218580524,0.011599411256611347,0.04159272089600563,629,0.17750757932662964,0.2977867126464844,0.9232909379968204,0.02424551360309124,0.025475261732935905,-0.004881580825895071,0.06116244196891785,0.022779494524002075,0.024495847523212433,0.0,0.0,0.0,,0.6538461538461539,17,26,0.5424679487179487,26,1.0,0.9150641025641025,0.5866666666666668,25,1.0,0.8180379746835443,0.5529166666666667,25,1.0,0.8924050632911392,0.5809294871794872,26,1.0,0.8381410256410257,0.13958181254565716,0.01992381437588803,0.13972586393356323,0.020004425241365465,0.7692307692307693,20,26,0.5424679487179487,26,1.0,0.9150641025641025,0.5841666666666668,25,1.0,0.8227848101265823,0.5525000000000001,25,1.0,0.8931962025316456,0.5797275641025641,26,1.0,0.8405448717948718,0.1395892482250929,0.019922945314670416,0.13973776623606682,0.0200054218580524,0.8461538461538461,22,26,0.5424679487179487,26,1.0,0.9150641025641025,0.5449999999999999,25,1.0,0.9018987341772152,0.5525000000000001,25,1.0,0.8931962025316456,0.5797275641025641,26,1.0,0.8405448717948718,0.13950148038566113,0.019663414049349473,0.13967876136302948,0.019795753550977353,0.5432692307692307,26,0.5,1.0,0.9105431309904153,0.5900000000000001,25,0.5,1.0,0.810126582278481,0.5833333333333334,25,0.5,1.0,0.8322784810126582,0.5817307692307693,26,0.5,1.0,0.8338658146964856,0.5745833333333333,0.09000000000000008,False,0.5657451923076924,0.08666666666666678,False,False,0.5647155448717949,0.08416666666666683,False,False,0.5549238782051282,0.0797275641025641,False,False,0.0,0.04166666666666685,0.0004166666666666208,0.0012019230769231282,False,False
trial_s0.100_d0.500_v0.300_trot_p0.48_nominal.npz,1,10001,0.1,0.5,0.48,trot,False,1,0,0,12.960000038146973,12.960000038146973,3.35,4.0011962890625,0.3093871474266052,0.31129276752471924,0.3109242618083954,0.30000001192092896,0.10000000149011612,body,0.139509417116642,0.02002669209346114,0.13937855698168278,0.01996923275343021,0.139509417116642,0.02002669209346114,0.014697618782520294,0.052240677177906036,625,0.19051240384578705,0.3189849853515625,0.9168,0.025685369968414307,0.027028029784560204,-0.005955607630312443,0.058852098882198334,0.02417645789682865,0.026051558554172516,0.0,0.0,0.0,,0.0,0,25,0.5420673076923076,26,1.0,0.9158653846153846,0.5929166666666668,25,1.0,0.8068910256410257,0.5537500000000001,25,1.0,0.8926282051282052,0.5765224358974359,26,1.0,0.8469551282051282,0.1393639463931322,0.019953743132248604,0.13949613645672798,0.02001649125535143,0.12,3,25,0.5420673076923076,26,1.0,0.9158653846153846,0.5916666666666667,25,1.0,0.8100961538461539,0.5537500000000001,25,1.0,0.8926282051282052,0.5741185897435896,26,1.0,0.8517628205128205,0.13937855698168278,0.01996923275343021,0.139509417116642,0.02002669209346114,0.68,17,25,0.5420673076923076,26,1.0,0.9158653846153846,0.5458333333333333,25,1.0,0.8990384615384616,0.5533333333333333,25,1.0,0.8934294871794872,0.5733173076923076,26,1.0,0.8533653846153846,0.1393293421715498,0.019637268246775454,0.13944534584879875,0.019734782606825672,0.5432692307692307,26,0.5,1.0,0.9105431309904153,0.6166666666666667,25,0.5,1.0,0.7596153846153846,0.5833333333333334,25,0.5,1.0,0.8333333333333334,0.5833333333333334,26,0.5,1.0,0.8306709265175719,0.5816506410256411,0.1166666666666667,False,0.5663141025641025,0.09291666666666676,False,False,0.5654006410256409,0.09166666666666667,False,False,0.5536378205128204,0.0733173076923076,False,False,0.0,0.04708333333333348,0.0004166666666667318,0.0032051282051283048,False,False
trial_s0.100_d0.500_v0.300_trot_p0.48_nominal.npz,2,10002,0.1,0.5,0.48,trot,False,1,0,0,13.079999923706055,13.079999923706055,3.35,4.004362487792969,0.3068239986896515,0.30860230326652527,0.3082633912563324,0.30000001192092896,0.10000000149011612,body,0.13973815366625786,0.019964718138728566,0.13964091800153255,0.01989952611486336,0.13973815366625786,0.019964718138728566,0.012785913422703743,0.04790062457323074,631,0.17591358721256256,0.29636192321777344,0.9243264659270999,0.023917891085147858,0.02511824294924736,-0.0055090198293328285,0.06141875311732292,0.022798683494329453,0.024524381384253502,0.0,0.0,0.0,,0.6153846153846154,16,26,0.5420673076923076,26,1.0,0.9158653846153846,0.5875,25,1.0,0.8183962264150944,0.5525000000000001,25,1.0,0.8938679245283019,0.5829326923076924,26,1.0,0.8341346153846154,0.13962083868682384,0.01994527463078825,0.13974401354789734,0.020015771820550088,0.8461538461538461,22,26,0.5420673076923076,26,1.0,0.9158653846153846,0.5837500000000001,25,1.0,0.8254716981132075,0.5525000000000001,25,1.0,0.8938679245283019,0.5817307692307693,26,1.0,0.8365384615384616,0.13964091800153255,0.01989952611486336,0.13973815366625786,0.019964718138728566,0.9230769230769231,24,26,0.5420673076923076,26,1.0,0.9158653846153846,0.5433333333333333,25,1.0,0.9056603773584906,0.5525000000000001,25,1.0,0.8938679245283019,0.5809294871794872,26,1.0,0.8381410256410257,0.13955141603946686,0.019649443299623957,0.13968727737665176,0.019764836592632427,0.5432692307692307,26,0.5,1.0,0.9105431309904153,0.5850000000000001,25,0.5,1.0,0.8207547169811321,0.5833333333333334,25,0.5,1.0,0.8333333333333334,0.5833333333333334,26,0.5,1.0,0.8306709265175719,0.5737339743589744,0.08500000000000008,False,0.56625,0.08750000000000002,False,False,0.5650120192307693,0.0837500000000001,False,False,0.5547075320512821,0.08092948717948723,False,False,0.0,0.04416666666666669,0.0,0.0020032051282051766,False,False
trial_s0.100_d0.500_v0.300_trot_p0.48_nominal.npz,3,10003,0.1,0.5,0.48,trot,False,1,0,0,13.039999961853027,13.039999961853027,3.35,4.000112915039063,0.30743837356567383,0.3092385530471802,0.308899462223053,0.30000001192092896,0.10000000149011612,body,0.13969066739082336,0.01999209574750398,0.13958832994103432,0.01993035920159033,0.13969066739082336,0.01999209574750398,0.0137023301795125,0.050771791487932205,629,0.189095601439476,0.3109726905822754,0.9220985691573926,0.024388879537582397,0.025659119710326195,-0.005514489021152258,0.06042606011033058,0.023221801966428757,0.025045759975910187,0.0,0.0,0.0,,0.34615384615384615,9,26,0.5420673076923076,26,1.0,0.9158653846153846,0.5883333333333334,25,1.0,0.814873417721519,0.5529166666666667,25,1.0,0.8924050632911392,0.5825320512820513,26,1.0,0.8349358974358975,0.13956722430884838,0.019931124635244327,0.13967116549611092,0.019994644254771737,0.6538461538461539,17,26,0.5420673076923076,26,1.0,0.9158653846153846,0.5858333333333334,25,1.0,0.8204113924050633,0.5525000000000001,25,1.0,0.8931962025316456,0.5797275641025641,26,1.0,0.8405448717948718,0.13958832994103432,0.01993035920159033,0.13969066739082336,0.01999209574750398,0.8461538461538461,22,26,0.5420673076923076,26,1.0,0.9158653846153846,0.5441666666666667,25,1.0,0.9034810126582279,0.5525000000000001,25,1.0,0.8931962025316456,0.5789262820512822,26,1.0,0.8421474358974359,0.1395067162811756,0.019659946096023034,0.13963769003748894,0.019770378544036554,0.5432692307692307,26,0.5,1.0,0.9105431309904153,0.5933333333333334,25,0.5,1.0,0.8037974683544303,0.5833333333333334,25,0.5,1.0,0.8322784810126582,0.5833333333333334,26,0.5,1.0,0.8306709265175719,0.5758173076923078,0.09333333333333338,False,0.5664623397435897,0.08833333333333337,False,False,0.5650320512820513,0.08583333333333343,False,False,0.5544150641025642,0.07892628205128216,False,False,0.0,0.04416666666666669,0.0004166666666666208,0.0036057692307691624,False,False
trial_s0.100_d0.500_v0.300_trot_p0.48_nominal.npz,4,10004,0.1,0.5,0.48,trot,False,1,0,0,13.059999465942383,13.059999465942383,3.35,4.000021362304688,0.30702418088912964,0.30877652764320374,0.3084620535373688,0.30000001192092896,0.10000000149011612,body,0.1396988369524479,0.0199610576413305,0.13962510973215103,0.01990449643044761,0.1396988369524479,0.0199610576413305,0.01559783797711134,0.059040702879428864,630,0.1820300668478012,0.30312108993530273,0.9238095238095239,0.02396208979189396,0.025200389325618744,-0.0062536816112697124,0.061553824692964554,0.023146947845816612,0.024990303441882133,0.0,0.0,0.0,,0.5384615384615384,14,26,0.5420673076923076,26,1.0,0.9158653846153846,0.5875,25,1.0,0.8170347003154574,0.5529166666666667,25,1.0,0.8927444794952681,0.5829326923076924,26,1.0,0.8341346153846154,0.13961158320307732,0.019939864886839204,0.13969841226935387,0.01999843347764113,0.8076923076923077,21,26,0.5420673076923076,26,1.0,0.9158653846153846,0.5841666666666667,25,1.0,0.8233438485804416,0.5529166666666667,25,1.0,0.8927444794952681,0.5813301282051283,26,1.0,0.8373397435897436,0.13962510973215103,0.01990449643044761,0.1396988369524479,0.0199610576413305,0.8461538461538461,22,26,0.5420673076923076,26,1.0,0.9158653846153846,0.5441666666666667,25,1.0,0.9037854889589906,0.5525000000000001,25,1.0,0.8935331230283912,0.5805288461538463,26,1.0,0.8389423076923077,0.13952899724245071,0.019663014921702835,0.13965071737766266,0.01976922462122482,0.5432692307692307,26,0.5,1.0,0.9105431309904153,0.5866666666666667,25,0.5,1.0,0.8170347003154574,0.5833333333333334,25,0.5,1.0,0.832807570977918,0.5833333333333334,26,0.5,1.0,0.8306709265175719,0.5741506410256411,0.08666666666666667,False,0.5663541666666667,0.08750000000000002,False,False,0.5651201923076924,0.08416666666666672,False,False,0.5548157051282052,0.08052884615384626,False,False,0.0,0.043333333333333335,0.0004166666666666208,0.0024038461538461453,False,False
trial_s0.100_d0.500_v0.300_trot_p0.48_nominal.npz,5,10005,0.1,0.5,0.48,trot,False,1,0,0,13.059999465942383,13.059999465942383,3.35,4.001757049560547,0.30702897906303406,0.30877113342285156,0.30837711691856384,0.30000001192092896,0.10000000149011612,body,0.13977669551968575,0.019998286243142753,0.13960769958794117,0.01990198784347238,0.13977669551968575,0.019998286243142753,0.008925900794565678,0.02814411371946335,630,0.1679997742176056,0.2866992950439453,0.9246031746031746,0.023941563442349434,0.02517840825021267,-0.003701110603287816,0.0609932579100132,0.022258900105953217,0.023959528654813766,0.0,0.0,0.0,,0.5769230769230769,15,26,0.5424679487179487,26,1.0,0.9150641025641025,0.5879166666666668,25,1.0,0.8162460567823344,0.5520833333333334,25,1.0,0.8943217665615142,0.5817307692307693,26,1.0,0.8365384615384616,0.13958649896085262,0.019957128850972814,0.13978086411952972,0.020055397400913173,0.8846153846153846,23,26,0.5424679487179487,26,1.0,0.9150641025641025,0.5829166666666667,25,1.0,0.8257097791798107,0.5520833333333334,25,1.0,0.8943217665615142,0.5809294871794872,26,1.0,0.8381410256410257,0.13960769958794117,0.01990198784347238,0.13977669551968575,0.019998286243142753,0.8846153846153846,23,26,0.5424679487179487,26,1.0,0.9150641025641025,0.5445833333333333,25,1.0,0.9037854889589906,0.5520833333333334,25,1.0,0.8951104100946372,0.5809294871794872,26,1.0,0.8381410256410257,0.1395146269351244,0.019643388486984995,0.13972116634249687,0.019795603476836492,0.5432692307692307,26,0.5,1.0,0.9105431309904153,0.5850000000000001,25,0.5,1.0,0.8201892744479495,0.5833333333333334,25,0.5,1.0,0.832807570977918,0.5817307692307693,26,0.5,1.0,0.8338658146964856,0.5733333333333334,0.08500000000000008,False,0.5660496794871795,0.08791666666666675,False,False,0.564599358974359,0.08291666666666675,False,False,0.5550160256410257,0.08092948717948723,False,False,0.0,0.043333333333333446,0.0,0.0008012820512820484,False,False
trial_s0.100_d0.500_v0.300_trot_p0.48_nominal.npz,6,10006,0.1,0.5,0.48,trot,False,1,0,0,13.039999961853027,13.039999961853027,3.35,4.000028991699219,0.30731600522994995,0.30909499526023865,0.3086715638637543,0.30000001192092896,0.10000000149011612,body,0.13974446803331375,0.02001220287433986,0.13955661840736866,0.01991210336829054,0.13974446803331375,0.02001220287433986,0.008846034295856953,0.026800373569130898,629,0.17468687891960144,0.2948131561279297,0.9236883942766295,0.024274097755551338,0.02555762231349945,-0.0033445479348301888,0.060417357832193375,0.022374693304300308,0.024122869595885277,0.0,0.0,0.0,,0.46153846153846156,12,26,0.5424679487179487,26,1.0,0.9150641025641025,0.5895833333333333,25,1.0,0.8117088607594937,0.5529166666666667,25,1.0,0.8931962025316456,0.5813301282051283,26,1.0,0.8373397435897436,0.13952899537980556,0.0199612772355769,0.13973908871412277,0.020063240824602112,0.7692307692307693,20,26,0.5424679487179487,26,1.0,0.9150641025641025,0.5841666666666668,25,1.0,0.821993670886076,0.5529166666666667,25,1.0,0.8931962025316456,0.5797275641025641,26,1.0,0.8405448717948718,0.13955661840736866,0.01991210336829054,0.13974446803331375,0.02001220287433986,0.8846153846153846,23,26,0.5424679487179487,26,1.0,0.9150641025641025,0.5441666666666667,25,1.0,0.9034810126582279,0.5520833333333334,25,1.0,0.8947784810126582,0.5797275641025641,26,1.0,0.8405448717948718,0.13947715424001217,0.019641005231064917,0.13968592509627342,0.019794458012540633,0.5432692307692307,26,0.5,1.0,0.9105431309904153,0.5900000000000001,25,0.5,1.0,0.810126582278481,0.5833333333333334,25,0.5,1.0,0.8354430379746836,0.5817307692307693,26,0.5,1.0,0.8338658146964856,0.5745833333333333,0.09000000000000008,False,0.5665745192307693,0.08958333333333335,False,False,0.5648197115384616,0.08416666666666683,False,False,0.5546113782051283,0.0797275641025641,False,False,0.0,0.04541666666666666,0.0008333333333333526,0.001602564102564208,False,False
trial_s0.100_d0.500_v0.300_trot_p0.48_nominal.npz,7,10007,0.1,0.5,0.48,trot,False,1,0,0,13.059999465942383,13.059999465942383,3.35,4.006132507324219,0.3074706196784973,0.3092438280582428,0.30892494320869446,0.30000001192092896,0.10000000149011612,body,0.1397247202694416,0.019983878641417534,0.139610905200243,0.019910427010502697,0.1397247202694416,0.019983878641417534,0.015548404306173325,0.058171939104795456,630,0.17817537486553192,0.2988090515136719,0.9238095238095239,0.02418057806789875,0.02542988583445549,-0.006255120504647493,0.06191062554717064,0.023212898522615433,0.025086868554353714,0.0,0.0,0.0,,0.6923076923076923,18,26,0.5424679487179487,26,1.0,0.9150641025641025,0.5870833333333334,25,1.0,0.8178233438485805,0.5525000000000001,25,1.0,0.8935331230283912,0.5813301282051283,26,1.0,0.8373397435897436,0.13959271647036076,0.01992100352020257,0.13971469551324844,0.019996897122006356,0.8076923076923077,21,26,0.5424679487179487,26,1.0,0.9150641025641025,0.5833333333333334,25,1.0,0.8249211356466877,0.5520833333333334,25,1.0,0.8943217665615142,0.5801282051282052,26,1.0,0.8397435897435898,0.139610905200243,0.019910427010502697,0.1397247202694416,0.019983878641417534,0.8461538461538461,22,26,0.5424679487179487,26,1.0,0.9150641025641025,0.5445833333333333,25,1.0,0.9029968454258676,0.5520833333333334,25,1.0,0.8943217665615142,0.5801282051282052,26,1.0,0.8397435897435898,0.1395287737250328,0.019661050687233606,0.13965948298573494,0.01977254229940866,0.5432692307692307,26,0.5,1.0,0.9105431309904153,0.5883333333333334,25,0.5,1.0,0.8138801261829653,0.5833333333333334,25,0.5,1.0,0.832807570977918,0.5817307692307693,26,0.5,1.0,0.8338658146964856,0.5741666666666667,0.08833333333333337,False,0.5658453525641026,0.0870833333333334,False,False,0.5645032051282052,0.08333333333333337,False,False,0.5548157051282052,0.08012820512820518,False,False,0.0,0.04250000000000009,0.0004166666666667318,0.0012019230769231282,False,False
trial_s0.100_d0.500_v0.300_trot_p0.48_nominal.npz,8,10008,0.1,0.5,0.48,trot,False,1,0,0,13.039999961853027,13.039999961853027,3.35,4.001554870605469,0.3075424134731293,0.30936551094055176,0.30900880694389343,0.30000001192092896,0.10000000149011612,body,0.13967027515172958,0.019988371820998767,0.13955282233655453,0.01992212594630792,0.13967027515172958,0.019988371820998767,0.01226869598031044,0.0447721853852272,629,0.18241369724273682,0.3045082092285156,0.9217011128775835,0.024564998224377632,0.025816287845373154,-0.005016721785068512,0.06014265492558479,0.023245280608534813,0.02499394863843918,0.0,0.0,0.0,,0.5769230769230769,15,26,0.5420673076923076,26,1.0,0.9158653846153846,0.5879166666666668,25,1.0,0.8156645569620253,0.5529166666666667,25,1.0,0.8924050632911392,0.5805288461538463,26,1.0,0.8389423076923077,0.13953709416091442,0.019931829595112326,0.13967295736074448,0.02000540208947258,0.6153846153846154,16,26,0.5420673076923076,26,1.0,0.9158653846153846,0.58625,25,1.0,0.8188291139240507,0.5525000000000001,25,1.0,0.8931962025316456,0.5789262820512822,26,1.0,0.8421474358974359,0.13955282233655453,0.01992212594630792,0.13967027515172958,0.019988371820998767,0.8846153846153846,23,26,0.5420673076923076,26,1.0,0.9158653846153846,0.54375,25,1.0,0.9042721518987342,0.5525000000000001,25,1.0,0.8931962025316456,0.5785256410256411,26,1.0,0.842948717948718,0.1394811701029539,0.019637995322251956,0.13961103558540344,0.019749352050900625,0.5432692307692307,26,0.5,1.0,0.9105431309904153,0.5950000000000001,25,0.5,1.0,0.8006329113924051,0.5833333333333334,25,0.5,1.0,0.8322784810126582,0.5833333333333334,26,0.5,1.0,0.8306709265175719,0.5762339743589744,0.09500000000000008,False,0.5658573717948718,0.08791666666666675,False,False,0.5649358974358976,0.08625000000000005,False,False,0.5542107371794872,0.07852564102564108,False,False,0.0,0.0441666666666668,0.0004166666666666208,0.0020032051282051766,False,False
trial_s0.100_d0.500_v0.300_trot_p0.48_nominal.npz,9,10009,0.1,0.5,0.48,trot,False,1,0,0,13.059999465942383,13.059999465942383,3.35,4.0017036437988285,0.30709388852119446,0.30889394879341125,0.3085586726665497,0.30000001192092896,0.10000000149011612,body,0.13966691866517067,0.019941348446340396,0.13954151421785355,0.019863010845307647,0.13966691866517067,0.019941348446340396,0.01108268741518259,0.041746217757463455,630,0.17892388999462128,0.2996864318847656,0.9246031746031746,0.023862287402153015,0.025085806846618652,-0.004849471617490053,0.06095961481332779,0.022690024226903915,0.024387069046497345,0.0,0.0,0.0,,0.7307692307692307,19,26,0.5424679487179487,26,1.0,0.9150641025641025,0.5866666666666667,25,1.0,0.8186119873817035,0.5520833333333334,25,1.0,0.8943217665615142,0.5817307692307693,26,1.0,0.8365384615384616,0.13952956348657608,0.019890072622469494,0.13966509327292442,0.019969198965354935,0.8846153846153846,23,26,0.5424679487179487,26,1.0,0.9150641025641025,0.5829166666666667,25,1.0,0.8257097791798107,0.5520833333333334,25,1.0,0.8943217665615142,0.5809294871794872,26,1.0,0.8381410256410257,0.13954151421785355,0.019863010845307647,0.13966691866517067,0.019941348446340396,0.8846153846153846,23,26,0.5424679487179487,26,1.0,0.9150641025641025,0.54375,25,1.0,0.9045741324921136,0.5520833333333334,25,1.0,0.8943217665615142,0.5809294871794872,26,1.0,0.8381410256410257,0.13945462554693222,0.01961619109752473,0.1396041475236416,0.019737115467302082,0.5432692307692307,26,0.5,1.0,0.9105431309904153,0.5850000000000001,25,0.5,1.0,0.8201892744479495,0.5833333333333334,25,0.5,1.0,0.832807570977918,0.5817307692307693,26,0.5,1.0,0.8338658146964856,0.5733333333333334,0.08500000000000008,False,0.5657371794871795,0.08666666666666667,False,False,0.564599358974359,0.08291666666666675,False,False,0.5548076923076923,0.08092948717948723,False,False,0.0,0.042916666666666714,0.0,0.0008012820512820484,False,False
