gait,step_width,command_df,achieved_df_median,cycle_rms_median,cycle_rms_q25,cycle_rms_q75,trials,periods
trot,0.05,0.5,0.5286458333333334,0.10707814255851719,0.021362921044337575,0.20316115858561884,384,0.4 0.48 0.54
trot,0.05,0.55,0.5648148148148149,0.017791261829724396,0.00889378978780242,0.024070044864084976,384,0.4 0.48 0.54
trot,0.05,0.6,0.6157407407407408,0.008140688082846076,0.004830176071893471,0.012325678937357015,384,0.4 0.48 0.54
trot,0.05,0.65,0.6666666666666666,0.004191462672050075,0.002982718473485489,0.005891553581942668,384,0.4 0.48 0.54
trot,0.05,0.7,0.7037037037037037,0.0028100771003751308,0.0018308246702399026,0.004429027972579665,384,0.4 0.48 0.54
trot,0.05,0.75,0.75,0.0029440109642303253,0.0020573448178982166,0.0039266703321036754,384,0.4 0.48 0.54
trot,0.1,0.5,0.5185185185185185,0.01095206372115472,0.006158132651017983,0.019409256519135287,384,0.4 0.48 0.54
trot,0.1,0.55,0.5636574074074074,0.005000977817267857,0.0037289436090943177,0.007184256581554824,384,0.4 0.48 0.54
trot,0.1,0.6,0.6111111111111112,0.0034576618552278828,0.0023956210024656333,0.005072207372466535,384,0.4 0.48 0.54
trot,0.1,0.65,0.6666666666666666,0.0038301036303005943,0.0026071616890709958,0.005084579918957608,384,0.4 0.48 0.54
trot,0.1,0.7,0.7037037037037037,0.0035189470397482495,0.002271899529568161,0.004199345199830057,384,0.4 0.48 0.54
trot,0.1,0.75,0.75,0.0028236514859121984,0.0016971817223553874,0.004695223361291,384,0.4 0.48 0.54
trot,0.15,0.5,0.5131944444444444,0.009564765131720616,0.005127863125713708,0.01893562885370601,384,0.4 0.48 0.54
trot,0.15,0.55,0.5636574074074074,0.0032225771629118653,0.0019751962372150374,0.005480970528302853,384,0.4 0.48 0.54
trot,0.15,0.6,0.6111111111111112,0.0027596399966340604,0.0020160716526968197,0.003652432446158801,384,0.4 0.48 0.54
trot,0.15,0.65,0.6666666666666666,0.0027703898925491247,0.0013094880723514334,0.00414539156131107,384,0.4 0.48 0.54
trot,0.15,0.7,0.7037037037037037,0.0019773474908930527,0.001149811645382133,0.0031528511759653976,384,0.4 0.48 0.54
trot,0.15,0.75,0.75,0.00164711036364392,0.0010853147522695606,0.002111866048205694,384,0.4 0.48 0.54
trot,0.2,0.5,0.5185185185185185,0.010322505577712658,0.007180586752101359,0.01992393395361998,384,0.4 0.48 0.54
trot,0.2,0.55,0.5648148148148149,0.004109044658638726,0.001586006677063745,0.02632247584311317,384,0.4 0.48 0.54
trot,0.2,0.6,0.613425925925926,0.0021728058737154766,0.0013708175019071624,0.005482327960782812,384,0.4 0.48 0.54
trot,0.2,0.65,0.6666666666666666,0.0011740847380381277,0.0007215782613528695,0.0023382318271276325,384,0.4 0.48 0.54
trot,0.2,0.7,0.7037037037037037,0.001982299380994065,0.0008865276751986377,0.005528322243945063,384,0.4 0.48 0.54
trot,0.2,0.75,0.75,0.002045918237576387,0.0009384284358194572,0.005738508624607402,384,0.4 0.48 0.54
trot,0.25,0.5,0.5208333333333334,0.008015293415390558,0.004480027746930024,0.020140468360323974,384,0.4 0.48 0.54
trot,0.25,0.55,0.5694444444444444,0.005824397828164521,0.0021896045546222786,0.011673810310379788,384,0.4 0.48 0.54
trot,0.25,0.6,0.6203703703703703,0.004535709476413863,0.0010683073511569194,0.009238773440949997,384,0.4 0.48 0.54
trot,0.25,0.65,0.6666666666666666,0.0018495402615371728,0.0009353892263302245,0.00774356211405782,384,0.4 0.48 0.54
trot,0.25,0.7,0.7037037037037037,0.001643085393372672,0.0008607505149193627,0.003681758201125753,384,0.4 0.48 0.54
trot,0.25,0.75,0.75,0.0021321283560106516,0.0011400201452289112,0.006015227260798396,384,0.4 0.48 0.54
trot,0.3,0.5,0.525,0.008815336614901293,0.002946576097422811,0.018822018350709478,384,0.4 0.48 0.54
trot,0.3,0.55,0.5740740740740741,0.007511651844079692,0.0016270691222910298,0.01886897062241768,384,0.4 0.48 0.54
trot,0.3,0.6,0.6203703703703703,0.00970410510469216,0.0019258763106410088,0.012611134384171985,384,0.4 0.48 0.54
trot,0.3,0.65,0.6666666666666666,0.002207162390021314,0.0010754941570624496,0.0072669983793879605,384,0.4 0.48 0.54
trot,0.3,0.7,0.7083333333333334,0.0030973031209963883,0.0015844991064995566,0.009664285829835088,384,0.4 0.48 0.54
trot,0.3,0.75,0.75,0.002059892211925511,0.0010336903686864061,0.006398662938557202,384,0.4 0.48 0.54
walk,0.05,0.75,0.7625,0.009394504284532494,0.007000313963588791,0.016062385538228235,384,0.4 0.48 0.54
walk,0.05,0.8,0.8055555555555556,0.009647448817711766,0.006324168378945465,0.017927316866493754,384,0.4 0.48 0.54
walk,0.05,0.85,0.8333333333333333,0.007419183927610346,0.005176097192370637,0.011225050827195803,384,0.4 0.48 0.54
walk,0.05,0.9,0.8645833333333334,0.0192357879217945,0.008573729701658534,0.02901138563580974,384,0.4 0.48 0.54
walk,0.1,0.75,0.7614583333333333,0.0061965302545359405,0.0021523117322346016,0.008655232136718006,384,0.4 0.48 0.54
walk,0.1,0.8,0.8125,0.006755354832044712,0.002427859610056803,0.00952695182329422,384,0.4 0.48 0.54
walk,0.1,0.85,0.8333333333333333,0.004064014938242709,0.0017350373200003724,0.008149515516589812,384,0.4 0.48 0.54
walk,0.1,0.9,0.8680555555555556,0.007134519119261057,0.003264828928566023,0.00944399555465284,384,0.4 0.48 0.54
walk,0.15,0.75,0.7625,0.003831634210379731,0.0012729276999724271,0.00703832153317507,384,0.4 0.48 0.54
walk,0.15,0.8,0.8125000000000001,0.004333427365681281,0.001217874406580174,0.008058440564176407,384,0.4 0.48 0.54
walk,0.15,0.85,0.8333333333333334,0.0037286345622013113,0.0013991487051903256,0.008067433670468983,384,0.4 0.48 0.54
walk,0.15,0.9,0.8726851851851851,0.0035166492382623015,0.001723576187362386,0.00860987794929218,384,0.4 0.48 0.54
walk,0.2,0.75,0.7625,0.002899028517281634,0.001283841594100699,0.007685727356857289,384,0.4 0.48 0.54
walk,0.2,0.8,0.8148148148148148,0.006293006364983831,0.001646124401726632,0.01073515869137505,384,0.4 0.48 0.54
walk,0.2,0.85,0.8431712962962963,0.006341548445146991,0.0025018418498388008,0.009144178864793365,384,0.4 0.48 0.54
walk,0.2,0.9,0.875,0.0039650329790506585,0.0017999997109639544,0.008680567420541763,384,0.4 0.48 0.54
walk,0.25,0.75,0.7625,0.007465536224773221,0.0037707601391243346,0.01103409301435148,384,0.4 0.48 0.54
walk,0.25,0.8,0.8194444444444444,0.007952185062931195,0.0029543041096397335,0.013749803317714502,384,0.4 0.48 0.54
walk,0.25,0.85,0.8431712962962963,0.0038811982784315393,0.0015970547791119497,0.008201485276685778,384,0.4 0.48 0.54
walk,0.25,0.9,0.875,0.003876922429901647,0.0021406419177716915,0.007252621750434986,384,0.4 0.48 0.54
walk,0.3,0.75,0.765625,0.009545378032114806,0.006414675224349669,0.018655735298351826,384,0.4 0.48 0.54
walk,0.3,0.8,0.8229166666666667,0.0078668950214781,0.004944544362412093,0.011671996257683816,384,0.4 0.48 0.54
walk,0.3,0.85,0.84375,0.007714533607635459,0.002943721301603504,0.009804626215901798,384,0.4 0.48 0.54
walk,0.3,0.9,0.8703703703703703,0.005136772124006079,0.0017610760405841724,0.009560733804069707,384,0.4 0.48 0.54
