speed,command_df,step_width,period,gait,perturbation_h,references,valid_references,reference_valid_rate,periodic_orbit_gate_pass_rate,command_gate_pass_rate,hybrid_topology_gate_pass_rate,translation_symmetry_gate_pass_rate,numerical_gate_pass_rate,rank_gate_pass_rate,finite_difference_gate_pass_rate,chi_augmented_diagnostic_median,chi_augmented_median,chi_augmented_q025,chi_augmented_q975,chi_physical_conditional_diagnostic_median,chi_physical_conditional_median,chi_physical_conditional_q025,chi_physical_conditional_q975,chi_orbital_physical_diagnostic_median,chi_orbital_physical_median,chi_orbital_physical_q025,chi_orbital_physical_q975,chi_orbital_augmented_diagnostic_median,chi_orbital_augmented_median,chi_orbital_augmented_q025,chi_orbital_augmented_q975
0.25,0.5,0.3,0.48,trot,0.05,8,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,6.35309775060653,nan,nan,nan,4.487180732085058,nan,nan,nan,4.207745215510087,nan,nan,nan,6.116907835049409,nan,nan,nan
0.25,0.5,0.3,0.48,trot,0.1,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.901530230493613,nan,nan,nan,4.71767979582696,nan,nan,nan,4.473610551173206,nan,nan,nan,5.614737990704314,nan,nan,nan
0.25,0.625,0.3,0.48,trot,0.025,8,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.066253012814167,nan,nan,nan,1.778441133504121,nan,nan,nan,1.6847947533997125,nan,nan,nan,1.9925948726530325,nan,nan,nan
0.25,0.625,0.3,0.48,trot,0.05,8,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.212146671644988,nan,nan,nan,2.022520425779281,nan,nan,nan,1.982814776368944,nan,nan,nan,2.1801450741605537,nan,nan,nan
0.25,0.625,0.3,0.48,trot,0.1,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.7709518949485439,nan,nan,nan,1.6749789375093838,nan,nan,nan,1.6122451732033687,nan,nan,nan,1.7180620246925495,nan,nan,nan
0.25,0.75,0.3,0.48,trot,0.025,8,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0125437588657307,nan,nan,nan,1.8172269482867236,nan,nan,nan,1.772907658365975,nan,nan,nan,1.9785771910036445,nan,nan,nan
0.25,0.75,0.3,0.48,trot,0.05,8,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.3586010074028652,nan,nan,nan,1.294017947488709,nan,nan,nan,1.2098248805335228,nan,nan,nan,1.302243297084058,nan,nan,nan
0.25,0.75,0.3,0.48,trot,0.1,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.3486214790757354,nan,nan,nan,1.280570521178742,nan,nan,nan,1.2043234247648817,nan,nan,nan,1.2944244975074188,nan,nan,nan
0.25,0.5,0.4,0.48,trot,0.025,8,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,22.018052401957387,nan,nan,nan,11.201241468581273,nan,nan,nan,11.11417710079316,nan,nan,nan,21.833333055015657,nan,nan,nan
0.25,0.5,0.4,0.48,trot,0.05,8,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,6.87852946973416,nan,nan,nan,5.747039866256911,nan,nan,nan,5.515434694695224,nan,nan,nan,6.748872080885532,nan,nan,nan
0.25,0.5,0.4,0.48,trot,0.1,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,7.230991204494986,nan,nan,nan,5.36399891109636,nan,nan,nan,5.12927903696904,nan,nan,nan,7.060440071937538,nan,nan,nan
0.25,0.625,0.4,0.48,trot,0.025,8,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.1676253522317466,nan,nan,nan,2.5724270184549116,nan,nan,nan,2.51133866386765,nan,nan,nan,3.103836515040425,nan,nan,nan
0.25,0.625,0.4,0.48,trot,0.05,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.890119486979397,nan,nan,nan,2.3607956099964857,nan,nan,nan,2.331596002581774,nan,nan,nan,2.863404739373517,nan,nan,nan
0.25,0.625,0.4,0.48,trot,0.1,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0475882770326477,nan,nan,nan,1.8915849538748661,nan,nan,nan,1.822727756909507,nan,nan,nan,1.987749464206742,nan,nan,nan
0.25,0.75,0.4,0.48,trot,0.025,8,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.132651772512285,nan,nan,nan,1.8711438197633197,nan,nan,nan,1.8344834781903456,nan,nan,nan,2.0994379277915036,nan,nan,nan
0.25,0.75,0.4,0.48,trot,0.05,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.5276823784391431,nan,nan,nan,1.351882044016225,nan,nan,nan,1.2658296927101038,nan,nan,nan,1.4742031054382534,nan,nan,nan
0.25,0.75,0.4,0.48,trot,0.1,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.359597978751537,nan,nan,nan,1.2671532241081458,nan,nan,nan,1.1923463171612805,nan,nan,nan,1.3286815682907456,nan,nan,nan
0.25,0.5,0.5,0.48,trot,0.025,8,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,26.131630673008132,nan,nan,nan,29.95987523573878,nan,nan,nan,29.275495662526495,nan,nan,nan,25.842087270834604,nan,nan,nan
0.25,0.5,0.5,0.48,trot,0.05,8,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,10.0282425422394,nan,nan,nan,9.863651449400987,nan,nan,nan,9.821905293439574,nan,nan,nan,9.93605894175011,nan,nan,nan
0.25,0.5,0.5,0.48,trot,0.1,8,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,7.948045230739645,nan,nan,nan,5.911772507663149,nan,nan,nan,5.680259647272525,nan,nan,nan,7.767641327738099,nan,nan,nan
0.25,0.625,0.5,0.48,trot,0.025,8,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,9.707624091118497,nan,nan,nan,7.586047334907171,nan,nan,nan,7.417560011139049,nan,nan,nan,9.617512196508637,nan,nan,nan
0.25,0.625,0.5,0.48,trot,0.05,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.359452273494085,nan,nan,nan,3.4508225481763164,nan,nan,nan,3.427866522331814,nan,nan,nan,4.311780745948274,nan,nan,nan
0.25,0.625,0.5,0.48,trot,0.1,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.9836032487187385,nan,nan,nan,2.668157720482194,nan,nan,nan,2.6141583812872673,nan,nan,nan,2.9370074235902144,nan,nan,nan
0.25,0.75,0.5,0.48,trot,0.025,8,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0683900871151897,nan,nan,nan,1.7482086805452872,nan,nan,nan,1.7195656291921213,nan,nan,nan,2.0457854245987486,nan,nan,nan
0.25,0.75,0.5,0.48,trot,0.05,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.6964962499461755,nan,nan,nan,1.4775567377521863,nan,nan,nan,1.4539205570977902,nan,nan,nan,1.6762261211569383,nan,nan,nan
0.25,0.75,0.5,0.48,trot,0.1,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.5393607965819465,nan,nan,nan,1.4138704269715894,nan,nan,nan,1.406454365214302,nan,nan,nan,1.5253430649357216,nan,nan,nan
