file,reference,speed,command_df,step_width,period,gait,perturbation_h,cycle_rms,periodic_orbit_gate_pass,terminated,hybrid_topology_gate_pass,achieved_df,df_max_abs_error,achieved_stance_width,stance_width_abs_error,stance_foot_lateral_mae,all_phase_foot_lateral_mae,forward_speed,speed_abs_error,lateral_rmse,max_lateral_deviation,heading_rmse_rad,max_abs_heading_rad,world_lateral_velocity_rmse,body_yaw_rate_rmse,stance_recall_min,swing_recall_min,nominal_failure,command_gate_pass,df_FL,stance_samples_FL,stance_y_FL,stance_recall_FL,swing_recall_FL,df_FR,stance_samples_FR,stance_y_FR,stance_recall_FR,swing_recall_FR,df_RL,stance_samples_RL,stance_y_RL,stance_recall_RL,swing_recall_RL,df_RR,stance_samples_RR,stance_y_RR,stance_recall_RR,swing_recall_RR,initial_rank,initial_condition_number,initial_stencil_max_error,initial_stencil_relative_error,zero_clone_input_max_error,zero_clone_output_max_error,zero_clone_noise_fraction_of_h,settle_group_rms,settle_terminated,numerical_gate_pass,chi_augmented,chi_physical_conditional,chi_orbital_physical,chi_orbital_augmented,rank_physical,rank_orbital_physical,rank_orbital_augmented,fit_relative_residual,translation_x_identity_residual,translation_y_identity_residual,translation_identity_residual_max,translation_cross_coupling_max,translation_symmetry_gate_pass,finite_difference_primary_matrix_error,finite_difference_primary_chi_error,finite_difference_full_matrix_error,finite_difference_full_chi_error,finite_difference_gate_pass,reference_valid,rank_gate_pass
stability_s0.100_d0.500_v0.250_trot_p0.48_h0.025.npz,0,0.25,0.5,0.1,0.48,trot,0.025,0.09092887106178767,0,0,0,0.5,0.0,0.09700938547030091,0.0029906145296990927,0.004673253232613207,0.005882453483839829,0.2649966987470786,0.014996698747078596,0.0013519752098336358,0.001739501953125,0.048726986324447205,0.05064115673303604,0.006011936100014258,0.02548205804950968,1.0,1.0,0,1,0.5,12,0.04964012994120518,1.0,1.0,0.5,12,-0.055145928325752415,1.0,1.0,0.5,12,0.04360112206389507,1.0,1.0,0.5,12,-0.04563159060974916,1.0,1.0,48,709.4650829361648,0.3234161376953125,7.800126126079938,0.6107916355133056,0.2213052034378052,8.852208137512207,0.0949988047853443,0,0,90.75980852902362,60.75131360254216,59.90791464749529,89.17583302062883,36,34,46,1.8999397337022803e-14,5.954081840757965,16.059289162216842,16.059289162216842,16.05919533495395,0,1.337155193862405,0.7980811315693362,1.3321582210862528,0.7957776031598464,0,0,1
stability_s0.100_d0.500_v0.250_trot_p0.48_h0.025.npz,1,0.25,0.5,0.1,0.48,trot,0.025,0.032960945558379966,0,0,0,0.5,0.0,0.09701428251961867,0.0029857174803813308,0.004699252887318532,0.005889408771569529,0.26402444392442703,0.014024443924427032,0.00128945043776004,0.0017852783203125,0.04866290407661876,0.050566770136356354,0.005984127575988871,0.025114346447766108,1.0,1.0,0,1,0.5,12,0.049860106160243355,1.0,1.0,0.5,12,-0.055023446679115295,1.0,1.0,0.5,12,0.043590665794909,1.0,1.0,0.5,12,-0.04555434640496969,1.0,1.0,48,2575.6069088101417,0.29727749824523925,6.721599837830902,0.4318676471710205,0.21380746364593506,8.552298545837402,0.07028495167290895,0,0,129.0870620715861,1600.8912980619773,1535.2763572155425,125.69722178514374,36,34,46,5.977546629383192e-15,4.795132586450854,30.980871384250218,30.980871384250218,30.979666739841832,0,2.8450986381967853,1.9260964612344,2.8412904715330396,1.9534154015838223,0,0,1
stability_s0.100_d0.500_v0.250_trot_p0.48_h0.025.npz,2,0.25,0.5,0.1,0.48,trot,0.025,0.05227138363582097,0,0,0,0.5,0.0,0.09610443562269211,0.0038955643773078974,0.004574994556605817,0.005875637832408149,0.26236773530642193,0.012367735306421934,0.0008345037178878978,0.0011444091796875,0.048160978117172196,0.04999542981386185,0.004511257670896109,0.031428849604097246,1.0,1.0,0,1,0.5,12,0.04855098730574051,1.0,1.0,0.5,12,-0.05437993382414182,1.0,1.0,0.5,12,0.04321216822912296,1.0,1.0,0.5,12,-0.04606578188637892,1.0,1.0,48,4332.163358748696,0.36330184936523435,7.274163065704483,0.03900834918022156,0.3798248529434204,15.192994117736815,0.11697297638783609,0,0,657.7119275700612,107.30206066873563,105.56185080718494,635.3461524576007,36,34,46,3.6679368105087785e-14,91.90458020805498,145.31582984095607,145.31582984095607,145.31578141555008,0,1.959915368215443,0.9504266841921931,2.00334842884536,0.9497106801959301,0,0,1
stability_s0.100_d0.500_v0.250_trot_p0.48_h0.025.npz,3,0.25,0.5,0.1,0.48,trot,0.025,0.09057461889401554,0,0,0,0.5,0.0,0.09731724672019482,0.002682753279805189,0.004657472514857849,0.005849073470259705,0.2642645450929801,0.014264545092980085,0.0007506460951713546,0.0013275146484375,0.0492898469603983,0.051335882395505905,0.005688942462901265,0.028243268143642836,1.0,1.0,0,1,0.5,12,0.05002249777317047,1.0,1.0,0.5,12,-0.05525553226470947,1.0,1.0,0.5,12,0.04348784716178974,1.0,1.0,0.5,12,-0.04586861624071995,1.0,1.0,48,748.2610678282821,0.309271502494812,6.189908192009032,0.5962637424468994,0.5778501033782959,23.114004135131836,0.10134788335341552,0,0,119.87409790561867,328.76136161914764,327.81033012174544,118.05953778752563,36,34,46,7.725767398748116e-15,19.374488829821477,9.497777873385289,19.374488829821477,19.37398769047428,0,2.63927364938732,1.9913657459013698,2.6415010818705165,2.017332479141101,0,0,1
stability_s0.100_d0.500_v0.250_trot_p0.48_h0.025.npz,4,0.25,0.5,0.1,0.48,trot,0.025,0.07377426171785767,0,0,0,0.5,0.0,0.09626619052141905,0.0037338094785809572,0.004468326487888893,0.005824617513765891,0.2610427166024844,0.011042716602484404,0.001181320857821262,0.0016632080078125,0.048247175466644754,0.050058938562870026,0.0053405188921773405,0.031983497663519565,1.0,1.0,0,1,0.5,12,0.04927498195320368,1.0,1.0,0.5,12,-0.05396198077748219,1.0,1.0,0.5,12,0.042961450293660164,1.0,1.0,0.5,12,-0.046333968018492065,1.0,1.0,48,676.9605053758443,0.3556220531463623,7.352778993349024,0.01783134937286377,0.02300084542168946,0.9200338168675783,0.1124976715825313,0,0,49.342037737556346,925.948290669969,871.296487449714,48.505060067851026,36,34,46,3.969588876591616e-15,9.947438526526403,1.0591684220127984,9.947438526526403,9.944606125406183,0,1.1670339430186711,0.524961470922285,1.1742211418940034,0.5221955178420505,0,0,1
stability_s0.100_d0.500_v0.250_trot_p0.48_h0.025.npz,5,0.25,0.5,0.1,0.48,trot,0.025,0.07695486954735124,0,0,0,0.5,0.0,0.09641841007396579,0.0035815899260342177,0.004512803427254161,0.005854519875720142,0.26154118155439693,0.011541181554396929,0.0010409988961268281,0.00145721435546875,0.04827603303794524,0.05009131133556366,0.005008581771154735,0.031874755716811955,1.0,1.0,0,1,0.5,12,0.049045300421615444,1.0,1.0,0.5,12,-0.05431543290615082,1.0,1.0,0.5,12,0.04323286501069864,1.0,1.0,0.5,12,-0.04624322180946668,1.0,1.0,48,8061.297875887876,0.31010758876800537,6.386566941224896,0.5491151809692383,0.567199444770813,22.687977790832516,0.1020657028662377,0,0,583.6667697473157,743.7471552549468,729.5793616101184,578.6799671832023,36,34,46,2.2520939332937833e-14,30.769931606311665,69.5741020554736,69.5741020554736,69.56587072339114,0,2.6000347734570015,1.3372829906260435,2.556312921886717,1.275659740501387,0,0,1
stability_s0.100_d0.500_v0.250_trot_p0.48_h0.025.npz,6,0.25,0.5,0.1,0.48,trot,0.025,0.08507849484891267,0,0,0,0.5104166666666666,0.04166666666666663,0.0957989129357231,0.004201087064276909,0.004622453900101858,0.005857317840370038,0.26097657283147174,0.010976572831471743,0.00144307027852265,0.00226593017578125,0.048100540724542895,0.0498988963663578,0.006154884491143077,0.031195966714275748,1.0,0.9166666666666666,0,1,0.5416666666666666,13,0.048818982851046785,1.0,0.9166666666666666,0.5,12,-0.053842028602957726,1.0,1.0,0.5,12,0.042722053515414395,1.0,1.0,0.5,12,-0.04621476090202729,1.0,1.0,48,1111.5612485378465,0.3219795823097229,7.045295944593678,0.0905606508255005,0.5536176919937134,22.14470767974853,0.10419848860984164,0,0,78.28844791560283,90.4210724580191,88.26046801122459,77.0996240086185,36,34,46,6.6509560292328425e-15,3.552550244698318,13.732595976382182,13.732595976382182,13.73256127720799,0,1.0416849306572822,0.8680484635490626,1.059862106561647,0.8711958969847584,0,0,1
stability_s0.100_d0.500_v0.250_trot_p0.48_h0.025.npz,7,0.25,0.5,0.1,0.48,trot,0.025,0.06803897033275612,0,0,0,0.5,0.0,0.09690969840933879,0.003090301590661218,0.004678508608291547,0.00591779746270428,0.26409490033984184,0.014094900339841843,0.0011586765523867826,0.0015468597412109375,0.04868185977143416,0.0506582073867321,0.005417697642154297,0.025919985281661454,1.0,1.0,0,1,0.5,12,0.049772029742598534,1.0,1.0,0.5,12,-0.054949115651349224,1.0,1.0,0.5,12,0.043464320711791515,1.0,1.0,0.5,12,-0.04563393071293831,1.0,1.0,48,1345.180907030564,0.30273363590240476,7.193426585007173,0.32685792446136475,0.5016967535018921,20.067870140075684,0.05388739667220953,0,0,275.2131884718532,194.1437710767769,176.4506979426911,260.6145784773355,36,34,46,8.797580911208563e-15,85.50334206208173,23.094017861813448,85.50334206208173,85.50212548134995,0,6.95648527276769,6.981078522079625,7.2630108133464875,7.310402691513663,0,0,1
stability_s0.100_d0.500_v0.250_trot_p0.48_h0.050.npz,0,0.25,0.5,0.1,0.48,trot,0.05,0.09092887106178767,0,0,0,0.5,0.0,0.09700938547030091,0.0029906145296990927,0.004673253232613207,0.005882453483839829,0.2649966987470786,0.014996698747078596,0.0013519752098336358,0.001739501953125,0.048726986324447205,0.05064115673303604,0.006011936100014258,0.02548205804950968,1.0,1.0,0,1,0.5,12,0.04964012994120518,1.0,1.0,0.5,12,-0.055145928325752415,1.0,1.0,0.5,12,0.04360112206389507,1.0,1.0,0.5,12,-0.04563159060974916,1.0,1.0,48,1086.5687336054248,0.3106232166290283,4.038279612082922,0.6107916355133056,0.2213052034378052,4.4261040687561035,0.0949988047853443,0,0,103.22460848457402,63.358641815556055,62.968822640280045,102.6445189084064,36,34,46,6.574709680817141e-15,7.375949461824605,7.722913219649313,7.722913219649313,7.721965202291101,0,1.337155193862405,0.7980811315693362,1.3321582210862528,0.7957776031598464,0,0,1
stability_s0.100_d0.500_v0.250_trot_p0.48_h0.050.npz,1,0.25,0.5,0.1,0.48,trot,0.05,0.032960945558379966,0,0,0,0.5,0.0,0.09701428251961867,0.0029857174803813308,0.004699252887318532,0.005889408771569529,0.26402444392442703,0.014024443924427032,0.00128945043776004,0.0017852783203125,0.04866290407661876,0.050566770136356354,0.005984127575988871,0.025114346447766108,1.0,1.0,0,1,0.5,12,0.049860106160243355,1.0,1.0,0.5,12,-0.055023446679115295,1.0,1.0,0.5,12,0.043590665794909,1.0,1.0,0.5,12,-0.04555434640496969,1.0,1.0,48,1649.8387253751496,0.30260912179946897,3.141315745980207,0.4318676471710205,0.21380746364593506,4.276149272918701,0.07028495167290895,0,0,43.707722930665575,35.91567459663351,35.4331153331162,42.95730624414112,36,34,46,3.721083400180396e-15,2.557740224394929,8.294546071679232,8.294546071679232,8.290961490499267,0,2.8450986381967853,1.9260964612344,2.8412904715330396,1.9534154015838223,0,0,1
