file,reference,speed,command_df,step_width,period,gait,energy_topology_gate_pass,energy_no_termination_gate_pass,energy_periodic_orbit_gate_pass,cycle_rms,energy_reference_valid,positive_mechanical_cot,absolute_mechanical_cot,positive_work_j,absolute_work_j,forward_displacement_m,achieved_df,df_max_abs_error,achieved_stance_width,stance_width_abs_error,stance_foot_lateral_mae,all_phase_foot_lateral_mae,forward_speed,speed_abs_error,lateral_rmse,max_lateral_deviation,heading_rmse_rad,max_abs_heading_rad,world_lateral_velocity_rmse,body_yaw_rate_rmse,stance_recall_min,swing_recall_min,nominal_failure,command_gate_pass,df_FL,stance_samples_FL,stance_y_FL,stance_recall_FL,swing_recall_FL,df_FR,stance_samples_FR,stance_y_FR,stance_recall_FR,swing_recall_FR,df_RL,stance_samples_RL,stance_y_RL,stance_recall_RL,swing_recall_RL,df_RR,stance_samples_RR,stance_y_RR,stance_recall_RR,swing_recall_RR
energy_s0.100_d0.500_v0.250_trot_p0.48.npz,0,0.25,0.5,0.1,0.48,trot,0,1,0,0.09092887106178767,0,0.1883524552889817,0.4026329729128548,14.276810795485458,30.02043839170658,0.503753662109375,0.5052083333333334,0.02083333333333337,0.09634067262057215,0.003659327379427854,0.004675578968444219,0.0058980951046881565,0.26281214132905006,0.012812141329050064,0.012628389605274577,0.016082763671875,0.04793136657360958,0.05018255487084389,0.005421547236109162,0.030596943735864548,1.0,0.9583333333333334,0,1,0.5208333333333334,50,0.048813102617859844,1.0,0.9583333333333334,0.5,48,-0.05464727416013678,1.0,1.0,0.5,48,0.04332910866166154,1.0,1.0,0.5,48,-0.045891859801486135,1.0,1.0
energy_s0.100_d0.500_v0.250_trot_p0.48.npz,1,0.25,0.5,0.1,0.48,trot,0,1,0,0.032960945558379966,0,0.18232810672389976,0.4022998568365852,13.607923393465292,29.97287977368307,0.5053253173828125,0.5104166666666666,0.04166666666666663,0.096775894650282,0.0032241053497180094,0.004774983783658499,0.005896176170790568,0.2633249272281925,0.013324927228192507,0.010686077503743292,0.0140380859375,0.047709782383947796,0.050214845687150955,0.005616299064499391,0.027263958443108645,1.0,0.9166666666666666,0,1,0.5416666666666666,52,0.04891408012750057,1.0,0.9166666666666666,0.5,48,-0.05518929047199587,1.0,1.0,0.5,48,0.04371950216591358,1.0,1.0,0.5,48,-0.045728916535153985,1.0,1.0
energy_s0.100_d0.500_v0.250_trot_p0.48.npz,2,0.25,0.5,0.1,0.48,trot,0,1,0,0.05227138363582097,0,0.19060308611038115,0.4039263199849025,14.201576018141022,30.02857143960849,0.5044097900390625,0.5026041666666666,0.01041666666666663,0.09660278076502388,0.0033972192349761288,0.004654192932735698,0.005898253848621,0.2632009483252962,0.013200948325296225,0.010224933175473865,0.013427734375,0.048300830511661924,0.050551820546388626,0.005278003913646453,0.028956380266073715,1.0,0.9791666666666666,0,1,0.5104166666666666,49,0.04921191360573379,1.0,0.9791666666666666,0.5,48,-0.05474228233409425,1.0,1.0,0.5,48,0.04335658508352935,1.0,1.0,0.5,48,-0.045894780506690346,1.0,1.0
energy_s0.100_d0.500_v0.250_trot_p0.48.npz,3,0.25,0.5,0.1,0.48,trot,0,1,0,0.09057461889401554,0,0.19014800761605344,0.4054226992485558,14.289355158942701,30.155028306700842,0.503173828125,0.5026041666666666,0.01041666666666663,0.09641495322552035,0.0035850467744796555,0.0046861760974798335,0.005925037046351159,0.2623425678660472,0.012342567866047205,0.009287531726666928,0.0117645263671875,0.047777983319010765,0.0502888560295105,0.0055449330196120136,0.030517236856591957,1.0,0.9791666666666666,0,1,0.5104166666666666,49,0.049019740172186674,1.0,0.9791666666666666,0.5,48,-0.05469081038609147,1.0,1.0,0.5,48,0.04333456481496493,1.0,1.0,0.5,48,-0.045784791077797614,1.0,1.0
energy_s0.100_d0.500_v0.250_trot_p0.48.npz,4,0.25,0.5,0.1,0.48,trot,0,1,0,0.07377426171785767,0,0.18662581213904197,0.402341323008568,14.032336665059942,29.997790122425258,0.5044613182544708,0.5026041666666666,0.01041666666666663,0.09641229550490397,0.0035877044950960307,0.004653567375795802,0.005897163801516094,0.26307741831988096,0.013077418319880962,0.012101159133459794,0.0147857666015625,0.04717763968705313,0.04953787848353386,0.005000837776047956,0.030656950662773658,1.0,0.9791666666666666,0,1,0.5104166666666666,49,0.04890763105786577,1.0,0.9791666666666666,0.5,48,-0.05464145828348895,1.0,1.0,0.5,48,0.04316388117149472,1.0,1.0,0.5,48,-0.046111620496958494,1.0,1.0
energy_s0.100_d0.500_v0.250_trot_p0.48.npz,5,0.25,0.5,0.1,0.48,trot,0,1,0,0.07695486954735124,0,0.18727660088611897,0.4005336590820657,13.862054828486544,29.821106381646388,0.5038375854492188,0.5026041666666666,0.01041666666666663,0.09639058409965134,0.0036094159003486614,0.004654475715451678,0.005897365233007196,0.2629148258517186,0.012914825851718603,0.01126791093723339,0.01355743408203125,0.047678858565273124,0.050046324729919434,0.004849243222639592,0.030349134224697986,1.0,0.9791666666666666,0,1,0.5104166666666666,49,0.04880849606528574,1.0,0.9791666666666666,0.5,48,-0.0546822528510044,1.0,1.0,0.5,48,0.04326060080590347,1.0,1.0,0.5,48,-0.046029818477109075,1.0,1.0
energy_s0.100_d0.500_v0.250_trot_p0.48.npz,6,0.25,0.5,0.1,0.48,trot,0,1,0,0.08507849484891267,0,0.18855998662134893,0.40572575313151893,13.994310880757615,30.13072700048391,0.5040435791015625,0.5026041666666666,0.01041666666666663,0.09649199655051438,0.003508003449485625,0.004721117311087596,0.005929807988771546,0.2632233543942372,0.013223354394237219,0.015947700792707926,0.01831817626953125,0.04745657521064431,0.05025237426161766,0.005030755537711293,0.030444657942365252,1.0,0.9791666666666666,0,1,0.5104166666666666,49,0.048759132395593485,1.0,0.9791666666666666,0.5,48,-0.05494555070375403,1.0,1.0,0.5,48,0.04328234485971431,1.0,1.0,0.5,48,-0.04599696514196694,1.0,1.0
energy_s0.100_d0.500_v0.250_trot_p0.48.npz,7,0.25,0.5,0.1,0.48,trot,0,1,0,0.06803897033275612,0,0.18319365918257788,0.3989385145685487,13.64278371070661,29.69129763324708,0.5046844482421875,0.5078125,0.03125,0.09660359795488345,0.003396402045116556,0.0047148957882788695,0.005887262715259567,0.26299621630460024,0.012996216304600239,0.012271937955073538,0.015386581420898438,0.04793896080518693,0.050437863916158676,0.005420471343944057,0.028742053428921492,1.0,0.9375,0,1,0.53125,51,0.04883815925203118,1.0,0.9375,0.5,48,-0.05494352321450909,1.0,1.0,0.5,48,0.04355325914608935,1.0,1.0,0.5,48,-0.04587225429713726,1.0,1.0
energy_s0.100_d0.625_v0.250_trot_p0.48.npz,0,0.25,0.625,0.1,0.48,trot,1,1,1,0.008828984332055076,1,0.23255857223287435,0.47948739361024284,17.285412121804985,35.63446944359324,0.50494384765625,0.625,0.0,0.10083276921262344,0.0008327692126234298,0.0038871312700212,0.00467140854258711,0.2634150832891464,0.013415083289146423,0.006893252604485184,0.007720947265625,0.04154847851425019,0.042989663779735565,0.005651965569395475,0.01876387553797774,1.0,1.0,0,1,0.625,60,0.05237469524145126,1.0,1.0,0.625,60,-0.055824933635691805,1.0,1.0,0.625,60,0.04473296832293272,1.0,1.0,0.625,60,-0.04873294122517109,1.0,1.0
energy_s0.100_d0.625_v0.250_trot_p0.48.npz,1,0.25,0.625,0.1,0.48,trot,1,1,1,0.006052931970797499,1,0.23439749224833234,0.4866499380301863,17.440859686955783,36.08202383882144,0.5051727294921875,0.625,0.0,0.10087386900559067,0.0008738690055906662,0.0038974917152275646,0.00468743837554939,0.2632602794716756,0.013260279471675573,0.011245630165517042,0.0131683349609375,0.042566574240848025,0.04398958012461662,0.00589180540820277,0.01890940237722646,1.0,1.0,0,1,0.625,60,0.052562327062090235,1.0,1.0,0.625,60,-0.05570361831535896,1.0,1.0,0.625,60,0.0445942943294843,1.0,1.0,0.625,60,-0.04888749830424786,1.0,1.0
