speed,command_df,step_width,period,gait,references,valid_references,energy_reference_valid_rate,energy_condition_valid,positive_mechanical_cot_median,absolute_mechanical_cot_median
0.4,0.625,0.5,0.48,trot,8,8,1.0,1,0.24548548911698917,0.46077568236933997
0.4,0.75,0.5,0.48,trot,8,8,1.0,1,0.29816214943000985,0.575176062093506
0.25,0.75,0.1,0.48,walk,8,8,1.0,1,0.34557063831371254,0.6948205720910607
0.25,0.75,0.2,0.48,walk,8,8,1.0,1,0.3469053600293921,0.6787953252073543
0.25,0.75,0.3,0.48,walk,8,8,1.0,1,0.3942669921841686,0.7637901784062147
0.25,0.75,0.4,0.48,walk,8,8,1.0,1,0.4676146751800028,0.8918774619796812
0.25,0.75,0.5,0.48,walk,8,8,1.0,1,0.5107687160311412,0.9407216966871548
0.3,0.75,0.1,0.48,walk,8,8,1.0,1,0.32476447379393547,0.6541318575314691
0.3,0.75,0.2,0.48,walk,8,8,1.0,1,0.3317266369294849,0.6500868489122493
0.3,0.75,0.3,0.48,walk,8,8,1.0,1,0.36644405751183634,0.7185927096484344
0.3,0.75,0.4,0.48,walk,8,8,1.0,1,0.4375970982791758,0.8325912500033084
0.3,0.75,0.5,0.48,walk,8,8,1.0,1,0.48021850847893055,0.870547732568815
0.35,0.75,0.1,0.48,walk,8,8,1.0,1,0.30763695678113323,0.6216996637643879
0.35,0.75,0.2,0.48,walk,8,8,1.0,1,0.32028563759529666,0.6333429332955882
0.35,0.75,0.3,0.48,walk,8,8,1.0,1,0.34997841303841415,0.6858445887417773
0.35,0.75,0.4,0.48,walk,8,8,1.0,1,0.40288339497120906,0.7746497664094916
0.35,0.75,0.5,0.48,walk,8,8,1.0,1,0.4387930428378124,0.8105978079149534
0.4,0.75,0.1,0.48,walk,8,8,1.0,1,0.2957963924250717,0.6049416833533758
0.4,0.75,0.2,0.48,walk,8,8,1.0,1,0.31068896313789235,0.620668630977306
0.4,0.75,0.3,0.48,walk,8,8,1.0,1,0.344351597706622,0.671953745992249
0.4,0.75,0.4,0.48,walk,8,8,1.0,1,0.38505678879180155,0.7353892362769633
0.4,0.75,0.5,0.48,walk,8,8,1.0,1,0.41647684181415945,0.7736378525954026
