speed,command_df,step_width,period,gait,perturbation_h,references,valid_references,reference_valid_rate,periodic_orbit_gate_pass_rate,command_gate_pass_rate,hybrid_topology_gate_pass_rate,translation_symmetry_gate_pass_rate,numerical_gate_pass_rate,rank_gate_pass_rate,finite_difference_gate_pass_rate,chi_augmented_diagnostic_median,chi_augmented_median,chi_augmented_q025,chi_augmented_q975,chi_physical_conditional_diagnostic_median,chi_physical_conditional_median,chi_physical_conditional_q025,chi_physical_conditional_q975,chi_orbital_physical_diagnostic_median,chi_orbital_physical_median,chi_orbital_physical_q025,chi_orbital_physical_q975,chi_orbital_augmented_diagnostic_median,chi_orbital_augmented_median,chi_orbital_augmented_q025,chi_orbital_augmented_q975,condition_valid
0.4,0.75,0.2,0.48,trot,0.05,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.4873012180389695,nan,nan,nan,1.4110015360870887,nan,nan,nan,1.3868468581974485,nan,nan,nan,1.4658728775852987,nan,nan,nan,0
0.4,0.5,0.3,0.48,trot,0.05,8,0,0.0,0.75,1.0,1.0,0.0,0.0,1.0,0.0,7.10203245764164,nan,nan,nan,6.345489171820843,nan,nan,nan,6.186765585495529,nan,nan,nan,7.004298979330381,nan,nan,nan,0
0.4,0.625,0.3,0.48,trot,0.05,8,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.1386325203414933,nan,nan,nan,2.6142597152253537,nan,nan,nan,2.6122198417186517,nan,nan,nan,3.134933458059835,nan,nan,nan,0
0.4,0.75,0.3,0.48,trot,0.05,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.3066737881797035,nan,nan,nan,1.2386912658808438,nan,nan,nan,1.1566685668930736,nan,nan,nan,1.2632700507079866,nan,nan,nan,0
0.4,0.5,0.4,0.48,trot,0.05,8,0,0.0,0.75,1.0,1.0,0.0,0.0,1.0,0.0,9.606102988523215,nan,nan,nan,6.74859752182471,nan,nan,nan,6.397880482777338,nan,nan,nan,9.410201653795088,nan,nan,nan,0
0.4,0.625,0.4,0.48,trot,0.05,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.338243875481305,nan,nan,nan,4.684380819901486,nan,nan,nan,4.673990969063919,nan,nan,nan,5.325343545521061,nan,nan,nan,0
0.4,0.75,0.4,0.48,trot,0.05,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.684012386074503,nan,nan,nan,1.4903280748716363,nan,nan,nan,1.4573793315243684,nan,nan,nan,1.636016435792587,nan,nan,nan,0
0.4,0.5,0.5,0.48,trot,0.05,8,0,0.0,0.375,1.0,1.0,0.0,0.0,1.0,0.0,16.820435025203633,nan,nan,nan,46.92842636260985,nan,nan,nan,45.25727127957589,nan,nan,nan,16.05160921772682,nan,nan,nan,0
0.4,0.625,0.5,0.48,trot,0.05,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.287951974377842,nan,nan,nan,4.426861451040294,nan,nan,nan,4.4072073079633265,nan,nan,nan,5.267427740991792,nan,nan,nan,0
0.4,0.75,0.5,0.48,trot,0.05,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.251162558278006,nan,nan,nan,1.9985977714893657,nan,nan,nan,1.963250238549282,nan,nan,nan,2.2187919743328957,nan,nan,nan,0
