step_width,command_df,disturbed,n,successes,failures,timeouts,success_rate,ci_low,ci_high,period,gait,step_width_frame,course_distance,forward_distance,mean_speed,forward_speed,duration,traversal_time,achieved_df,achieved_width,command_width,command_speed,timing_accuracy,applied_impulse,df_max_abs_error,lateral_rmse,max_lateral_deviation,foot_lateral_mae,settled_samples,world_achieved_width,world_foot_lateral_mae,body_achieved_width,body_foot_lateral_mae,heading_rmse_rad,max_abs_heading_rad,world_lateral_velocity_mean,world_lateral_velocity_rmse,body_lateral_velocity_mean,body_lateral_velocity_rmse,body_yaw_rate_mean,body_yaw_rate_rmse,df_FL,schedule_df_FL,stance_recall_FL,swing_recall_FL,trials_with_cycles_FL,df_FR,schedule_df_FR,stance_recall_FR,swing_recall_FR,trials_with_cycles_FR,df_RL,schedule_df_RL,stance_recall_RL,swing_recall_RL,trials_with_cycles_RL,df_RR,schedule_df_RR,stance_recall_RR,swing_recall_RR,trials_with_cycles_RR,compliant_trial_fraction,compliance_screen_pass,force2n_compliant_trial_fraction,force2n_compliance_screen_pass,force2n_achieved_df,force2n_achieved_width,force2n_topology_fraction,force2n_topology_ci_low,force2n_topology_ci_high,force2n_topology_screen_pass,force2n_threshold_screen_pass,force2n_topology_good_cycles,force2n_topology_cycles,force2n_pooled_topology_fraction,force5n_compliant_trial_fraction,force5n_compliance_screen_pass,force5n_achieved_df,force5n_achieved_width,force5n_topology_fraction,force5n_topology_ci_low,force5n_topology_ci_high,force5n_topology_screen_pass,force5n_threshold_screen_pass,force5n_topology_good_cycles,force5n_topology_cycles,force5n_pooled_topology_fraction,force10n_compliant_trial_fraction,force10n_compliance_screen_pass,force10n_achieved_df,force10n_achieved_width,force10n_topology_fraction,force10n_topology_ci_low,force10n_topology_ci_high,force10n_topology_screen_pass,force10n_threshold_screen_pass,force10n_topology_good_cycles,force10n_topology_cycles,force10n_pooled_topology_fraction,force_df_span_trial_fraction,force_robust_trial_fraction,force_threshold_conclusion_unchanged,force5n_200hz_vs_frozen50hz_unchanged,combined_cell_pass
0.05,0.5,False,64,64,0,0,1.0,0.9433759402071946,1.0,0.54,trot,body,3.3500000000000005,4.003606887161731,0.3062517954967916,0.3100965293124318,13.099062204360962,13.099062204360962,0.5322032599546186,0.04687790383468382,0.05000000074505806,0.30000001192092896,0.9681677875442173,0.0,0.0719102254428341,0.05447390169138089,0.09611085802316666,0.004277326643101146,627.953125,0.04741216453112429,0.0104566747366312,0.04687790383468382,0.004277326643101146,0.0438695180346258,0.06785405334085226,-0.006480607240519021,0.02351575589273125,0.0068547815244528465,0.022987108764937147,-0.0019173515063357627,0.09126775013282895,0.5421195652173914,0.5185185185185187,0.9998113161551108,0.9507734113712374,64,0.5333017676767677,0.48148148148148134,1.0,0.9026488153614002,64,0.48148148148148134,0.48148148148148134,1.0,1.0,64,0.5719102254428341,0.5185185185185187,1.0,0.8891095317725752,64,0.0,False,0.0,False,0.5257861964298784,0.046881315851351246,0.4239130434782609,0.41100543478260876,0.43546195652173914,False,False,624,1472,0.42391304347826086,0.0,False,0.5254874091915532,0.04687790383468382,0.4320652173913043,0.41847826086956524,0.4442934782608696,False,False,636,1472,0.4320652173913043,0.0,False,0.5245940496450007,0.046852536775986664,0.43002717391304346,0.4150815217391305,0.4442934782608696,False,False,633,1472,0.43002717391304346,1.0,0.0,True,True,False
0.05,0.55,False,64,60,4,0,0.9375,0.8500251490779133,0.9754287986033819,0.54,trot,body,3.1406250000000004,3.765789201110601,0.2883965610526502,0.2869603247527266,12.57406184822321,13.30166597366333,0.5708377365136875,0.051883706473745406,0.05000000074505806,0.30000001192092896,0.9646955959546335,0.0,0.06692330917874367,0.04684124462073669,0.10046754032373428,0.0050997633921053415,601.703125,0.04950029953761259,0.014627990260866575,0.051883706473745406,0.0050997633921053415,0.04918607487343252,0.07004672975745052,-0.022676458167552482,0.04051333508687094,-0.007652858410438057,0.03392243568669073,-0.011497037512526731,0.081896374351345,0.5464850040257648,0.5555555555555555,0.9672846789467253,0.982132626116412,64,0.6169233091787436,0.5555555555555555,0.9973748227982984,0.8800802951388889,64,0.534898349436393,0.5555555555555555,0.9527469758064516,0.9967447916666667,64,0.5850442834138485,0.5555555555555555,0.9969223484848484,0.9303362651528946,64,0.9375,True,0.9375,True,0.5690819683474235,0.051926598767749965,0.7085597826086956,0.65625,0.7479789402173911,False,False,1043,1388,0.7514409221902018,0.9375,True,0.5665957440116748,0.051883706473745406,0.733016304347826,0.6827445652173914,0.7724184782608695,False,False,1079,1388,0.7773775216138329,0.9375,True,0.5642258894424316,0.05166966750402935,0.7336956521739131,0.6834239130434783,0.7730978260869565,False,False,1080,1388,0.7780979827089337,0.9375,0.9375,True,True,False
0.05,0.6,False,64,60,4,0,0.9375,0.8500251490779133,0.9754287986033819,0.54,trot,body,3.1406250000000004,3.7714914284646506,0.2969275648938492,0.2987851114012301,12.285937536507845,12.960000038146973,0.6200925506575415,0.05324422585545108,0.05000000074505806,0.30000001192092896,0.9721189443740753,0.0,0.049949677938808425,0.041050040803384036,0.0915895327925682,0.0035591127816760344,587.296875,0.05124292340769898,0.011614719038138412,0.05324422585545108,0.0035591127816760344,0.04638001468265429,0.06131568370619789,-0.01900403996114619,0.030091193184489384,-0.004961222621204797,0.026496605671127327,-0.00915669632377103,0.058029959618579596,0.6129898013955986,0.6296296296296297,0.9713070324283559,0.9970108695652176,64,0.6470696548821551,0.5925925925925924,0.9993622448979592,0.8791790184453225,64,0.5731271043771042,0.5925925925925924,0.9599277210884354,0.9962944664031619,64,0.6471836419753088,0.6296296296296297,1.0,0.9526041666666667,64,0.9375,True,0.9375,True,0.6126438372249061,0.05324321078660432,0.8586647727272727,0.7997159090909091,0.9041193181818181,False,False,1209,1331,0.9083395942900075,0.9375,True,0.6122372816708753,0.05324422585545108,0.8607954545454546,0.8025568181818181,0.90625,False,False,1212,1331,0.9105935386927122,0.9375,True,0.6113786615017932,0.05318593580159359,0.8622159090909092,0.8032670454545454,0.9076704545454546,False,False,1214,1331,0.9120961682945155,0.9375,0.9375,True,True,False
0.05,0.65,False,64,60,4,0,0.9375,0.8500251490779133,0.9754287986033819,0.54,trot,body,3.1406250000000004,3.7771954923868174,0.2992136802058667,0.30149366497062147,12.228124853223562,12.868333180745443,0.6727671682098764,0.054154168887180276,0.05000000074505806,0.30000001192092896,0.9758329271375081,0.0,0.07438271604938282,0.0746579435071908,0.14044533669948578,0.0029000672274153033,584.40625,0.05280910732835764,0.010976969657694052,0.054154168887180276,0.0029000672274153033,0.04927815857809037,0.06116446387022734,-0.018821604913682677,0.022654321932350285,-0.004195690016786102,0.017271982513193507,-0.007147484499000711,0.03763454346335493,0.658082561728395,0.6666666666666665,0.9805754208075924,1.0,64,0.7131558641975311,0.6666666666666665,1.0,0.8658854166666669,64,0.6415895061728393,0.6666666666666665,0.9601645563828758,1.0,64,0.6782407407407405,0.6666666666666665,1.0,0.9622607376283846,64,0.0,False,0.9375,True,0.6622041815726714,0.054180748309590854,0.8948863636363639,0.8352272727272729,0.9396306818181821,False,False,1260,1333,0.9452363090772693,0.9375,True,0.6615046405899272,0.054154168887180276,0.8948863636363639,0.8352272727272729,0.9396306818181821,False,False,1260,1333,0.9452363090772693,0.9375,True,0.6601488517992425,0.05414255474170204,0.8948863636363639,0.8352272727272729,0.9396306818181821,False,False,1260,1333,0.9452363090772693,0.9375,0.9375,True,False,False
0.05,0.7,False,64,60,4,0,0.9375,0.8500251490779133,0.9754287986033819,0.54,trot,body,3.1406250000000004,3.7690022900700564,0.2944660560460761,0.2947272125238669,12.274374790489674,12.948666445414226,0.7009088278619529,0.05547404574463144,0.05000000074505806,0.30000001192092896,0.9753723523659547,0.0,0.05253577441077433,0.10932174592744559,0.20815065503120422,0.003272271522901625,586.71875,0.05290409457666101,0.011560267143355538,0.05547404574463144,0.003272271522901625,0.04984790168236941,0.062339062278624624,-0.027498508134158328,0.03299149015219882,-0.012891267581835564,0.020746897054777946,-0.007692077124374919,0.03577811404829845,0.6846064814814816,0.7037037037037039,0.965831041486914,1.0,64,0.732165404040404,0.7037037037037039,0.9997051886792453,0.9120527626811594,64,0.6695601851851855,0.7037037037037039,0.9510224958758635,1.0,64,0.7173032407407409,0.7037037037037039,1.0,0.9525855654761906,64,0.046875,False,0.046875,False,0.6938318829524108,0.05542819119000342,0.8948863636363639,0.8352272727272729,0.9396306818181821,False,False,1260,1330,0.9473684210526315,0.046875,False,0.6925117151283366,0.05547404574463144,0.8948863636363639,0.8352272727272729,0.9396306818181821,False,False,1260,1330,0.9473684210526315,0.046875,False,0.6907986206418046,0.055592950666323304,0.8948863636363639,0.8352272727272729,0.9396306818181821,False,False,1260,1330,0.9473684210526315,0.9375,0.046875,True,True,False
0.05,0.75,False,64,64,0,0,1.0,0.9433759402071946,1.0,0.54,trot,body,3.3500000000000005,4.003518277406692,0.3038522475399077,0.3087189015932381,13.168749794363976,13.168749794363976,0.7591145833333335,0.05302314707660116,0.05000000074505806,0.30000001192092896,0.9997453193633945,0.0,0.02782809983896953,0.025535722787026316,0.048265814781188965,0.0022045831172710414,631.4375,0.053126519262150396,0.005415805750695263,0.05302314707660116,0.0022045831172710414,0.03287724044639617,0.04145315085770562,-0.003952673388994299,0.005483930726768449,0.0056589162868476706,0.007107005119905807,-0.0037340612998377765,0.04022797226207331,0.777475845410628,0.7777777777777778,0.9996267210494185,1.0,64,0.7408665458937196,0.7407407407407406,1.0,0.9994419642857143,64,0.7402878421900159,0.7407407407407406,0.9992786325324171,1.0,64,0.7778280998389695,0.7777777777777778,1.0,0.9997791491858955,64,0.984375,True,0.984375,True,0.751497367241253,0.053026664347271435,0.9538043478260869,0.9497282608695652,0.9565217391304347,True,True,1404,1472,0.9538043478260869,0.984375,True,0.7507095124707217,0.05302314707660116,0.9538043478260869,0.9497282608695652,0.9565217391304347,True,True,1404,1472,0.9538043478260869,0.984375,True,0.7500820592702386,0.05301654509094078,0.952445652173913,0.9463315217391304,0.9565217391304347,True,True,1402,1472,0.9524456521739131,1.0,0.984375,True,True,True
0.1,0.5,False,64,64,0,0,1.0,0.9433759402071946,1.0,0.54,trot,body,3.3500000000000005,4.003659383952617,0.2978863790631294,0.30139147443696856,13.457812368869781,13.457812368869781,0.518877063204509,0.09505075326887891,0.10000000149011612,0.30000001192092896,0.980906276132946,0.0,0.05829810789049919,0.02678663597907871,0.03916916996240616,0.003034673190464174,645.890625,0.0956177566840779,0.00645871214826993,0.09505075326887891,0.003034673190464174,0.02764700961415656,0.036837690393440425,-0.0016001605054043466,0.006278454296989366,0.006648034803220071,0.00865374590648571,-0.0012116133342487956,0.049337929289322346,0.5192230273752014,0.5185185185185187,0.9998139880952381,0.9983851246100484,64,0.5165056360708536,0.48148148148148134,1.0,0.9315476190476191,64,0.48148148148148134,0.48148148148148134,1.0,0.9998139880952381,64,0.5582981078904992,0.5185185185185187,1.0,0.9170525519162183,64,0.0,False,0.0,False,0.5138275588768115,0.09505401566275395,0.9538043478260869,0.9504076086956521,0.9565217391304347,True,False,1404,1472,0.9538043478260869,0.0,False,0.5135256265096619,0.09505075326887891,0.9538043478260869,0.9504076086956521,0.9565217391304347,True,False,1404,1472,0.9538043478260869,0.0,False,0.5130035351247987,0.09504866544739343,0.9544836956521738,0.951086956521739,0.9565217391304347,True,False,1405,1472,0.954483695652174,1.0,0.0,True,True,False
0.1,0.55,False,64,64,0,0,1.0,0.9433759402071946,1.0,0.54,trot,body,3.3500000000000005,4.003064529597759,0.2942692586220801,0.29778482811525464,13.616874754428864,13.616874754428864,0.5647723555756843,0.09677889305748977,0.10000000149011612,0.30000001192092896,0.9906564642991041,0.0,0.04007648953301096,0.02162040490657091,0.04370764642953873,0.0020524976394581235,653.84375,0.09714954870287329,0.0065881372532431755,0.09677889305748977,0.0020524976394581235,0.030964839388616383,0.03855815524002537,-0.0033382091532985214,0.010827895923284814,0.005587022351392079,0.01064381182368379,-0.0014014017068291196,0.03975718788569793,0.5552662037037037,0.5555555555555555,0.9994901420521858,1.0,64,0.5900764895330108,0.5555555555555555,1.0,0.9242977455117241,64,0.55631038647343,0.5555555555555555,1.0,0.9967862575318929,64,0.5574363425925927,0.5555555555555555,1.0,0.9957682291666666,64,1.0,True,1.0,True,0.5559286464623591,0.09678010750212707,0.9231770833333334,0.919921875,0.9270833333333334,True,True,1418,1536,0.9231770833333334,1.0,True,0.5558376342970008,0.09677889305748977,0.919921875,0.9173177083333335,0.9225260416666667,True,True,1413,1536,0.919921875,1.0,True,0.5556893545776302,0.0967758189945016,0.919921875,0.9173177083333335,0.9231770833333334,True,True,1413,1536,0.919921875,1.0,1.0,True,True,True
0.1,0.6,False,64,64,0,0,1.0,0.9433759402071946,1.0,0.54,trot,body,3.3500000000000005,4.002662734687328,0.3017125250771642,0.30625522835180163,13.257187023758888,13.257187023758888,0.6112809480676327,0.09893397311680019,0.10000000149011612,0.30000001192092896,0.9992947992793982,0.0,0.029629629629629672,0.020784588166861795,0.041222214698791504,0.0016213460855759448,635.859375,0.09923431408242323,0.00549203306575878,0.09893397311680019,0.0016213460855759448,0.030716147797647864,0.03709133673692122,-0.0031260490177373867,0.009387732803588733,0.005960289570793975,0.010120551261934452,-0.0015664191922724058,0.028820091160014272,0.6292270531400967,0.6296296296296297,0.9993872549019608,1.0,64,0.5931209742351046,0.5925925925925924,1.0,0.9981652462121211,64,0.5931461352657001,0.5925925925925924,0.999667994102376,0.9964488636363636,64,0.6296296296296297,0.6296296296296297,1.0,1.0,64,1.0,True,1.0,True,0.6088670616948468,0.09893410766380839,0.9538043478260869,0.951086956521739,0.9558423913043477,True,True,1404,1472,0.9538043478260869,1.0,True,0.6088010139895329,0.09893397311680019,0.9538043478260869,0.951086956521739,0.9558423913043477,True,True,1404,1472,0.9538043478260869,1.0,True,0.6087491193639292,0.09893343396834098,0.9538043478260869,0.951086956521739,0.9558423913043477,True,True,1404,1472,0.9538043478260869,1.0,1.0,True,True,True
0.1,0.65,False,64,64,0,0,1.0,0.9433759402071946,1.0,0.54,trot,body,3.3500000000000005,4.002909259498119,0.3079472715035081,0.31277785543352365,12.991562247276306,12.991562247276306,0.6666503691809397,0.09958725541946478,0.10000000149011612,0.30000001192092896,0.9998558787307281,0.0,0.016903409090908914,0.05601840349845588,0.10403841733932495,0.001176914965840812,622.578125,0.09979391758679412,0.006384723808240811,0.09958725541946478,0.001176914965840812,0.032593400857876986,0.038111541187390685,-0.008204363570257556,0.010929296477115713,0.001711620524929458,0.00795647052291315,-0.002441532082229969,0.02248105561011471,0.6663647342995167,0.6666666666666664,0.9995503597122302,1.0,64,0.666903409090909,0.6666666666666665,1.0,0.9991696859903382,64,0.6666666666666665,0.6666666666666665,1.0,1.0,64,0.6666666666666664,0.6666666666666664,1.0,1.0,64,1.0,True,1.0,True,0.6643955977345922,0.09958758624270558,0.9565217391304347,0.9565217391304347,0.9565217391304347,True,True,1408,1472,0.9565217391304348,1.0,True,0.6643759406794392,0.09958725541946478,0.9565217391304347,0.9565217391304347,0.9565217391304347,True,True,1408,1472,0.9565217391304348,1.0,True,0.6637873012278583,0.09958432411076501,0.9565217391304347,0.9565217391304347,0.9565217391304347,True,True,1408,1472,0.9565217391304348,1.0,1.0,True,True,True
