gait,speed,period,step_width,command_df,trials,valid_energy_trials,energy_valid_rate,energy_condition_valid,positive_mechanical_cot_median,finite_cot_trials,positive_mechanical_cot_median_all,periodic_rate,compliance_rate,achieved_df_mean,out_of_training_support
trot,0.4,0.48,0.2,0.5,32,32,1.0,1,0.17256298556413716,32,0.17256298556413716,1.0,1.0,0.5208333333333333,0
trot,0.4,0.48,0.2,0.625,32,32,1.0,1,0.2015520218184072,32,0.2015520218184072,1.0,1.0,0.625,0
trot,0.4,0.48,0.2,0.75,32,32,1.0,1,0.29772631771189456,32,0.29772631771189456,1.0,1.0,0.75,0
trot,0.4,0.48,0.3,0.5,32,32,1.0,1,0.18388227066781176,32,0.18388227066781176,1.0,1.0,0.5208333333333333,0
trot,0.4,0.48,0.3,0.625,32,32,1.0,1,0.21656254946641007,32,0.21656254946641007,1.0,1.0,0.625,0
trot,0.4,0.48,0.3,0.75,32,32,1.0,1,0.29793983670149826,32,0.29793983670149826,1.0,1.0,0.75,0
trot,0.4,0.48,0.4,0.5,32,32,1.0,1,0.21890668038641126,32,0.21890668038641126,1.0,1.0,0.5208333333333333,0
trot,0.4,0.48,0.4,0.625,32,32,1.0,1,0.23174443938876427,32,0.23174443938876427,1.0,1.0,0.625,0
trot,0.4,0.48,0.4,0.75,32,32,1.0,1,0.304990341012795,32,0.304990341012795,1.0,1.0,0.75,0
trot,0.4,0.48,0.5,0.5,32,32,1.0,1,0.2566678051901238,32,0.2566678051901238,1.0,1.0,0.5208333333333333,0
trot,0.4,0.48,0.5,0.625,32,32,1.0,1,0.247305227097501,32,0.247305227097501,1.0,1.0,0.625,0
trot,0.4,0.48,0.5,0.75,32,32,1.0,1,0.3172396972131441,32,0.3172396972131441,1.0,1.0,0.75,0
walk,0.25,0.48,0.1,0.75,32,0,0.0,0,,32,0.40649023672976814,1.0,0.0,0.7604166666666666,0
walk,0.25,0.48,0.1,0.8,32,32,1.0,1,0.44682342939946307,32,0.44682342939946307,1.0,1.0,0.8333333333333334,0
walk,0.25,0.48,0.1,0.85,32,32,1.0,1,0.46938888654130995,32,0.46938888654130995,1.0,1.0,0.875,0
walk,0.25,0.48,0.1,0.9,32,0,0.0,0,,32,0.4522369348946614,1.0,0.0,0.8854166666666666,0
walk,0.25,0.48,0.2,0.75,32,0,0.0,0,,32,0.4209325143320024,1.0,0.0,0.7604166666666666,0
walk,0.25,0.48,0.2,0.8,32,32,1.0,1,0.47086549380391274,32,0.47086549380391274,1.0,1.0,0.8333333333333334,0
walk,0.25,0.48,0.2,0.85,32,32,1.0,1,0.49675815413877367,32,0.49675815413877367,1.0,1.0,0.87255859375,0
walk,0.25,0.48,0.2,0.9,32,0,0.0,0,,32,0.46283427248154696,1.0,0.0,0.8854166666666666,0
walk,0.25,0.48,0.3,0.75,32,0,0.0,0,,32,0.4477474838979227,1.0,0.0,0.7604166666666666,0
walk,0.25,0.48,0.3,0.8,32,32,1.0,1,0.49469106645709415,32,0.49469106645709415,1.0,1.0,0.8333333333333334,0
walk,0.25,0.48,0.3,0.85,32,32,1.0,1,0.5203849711486278,32,0.5203849711486278,1.0,1.0,0.873046875,0
walk,0.25,0.48,0.3,0.9,32,0,0.0,0,,32,0.4953274336986132,1.0,0.0,0.8854166666666666,0
walk,0.25,0.48,0.4,0.75,32,0,0.0,0,,32,0.5018062855313437,1.0,0.0,0.7604166666666666,0
walk,0.25,0.48,0.4,0.8,32,32,1.0,1,0.5202129969761953,32,0.5202129969761953,1.0,1.0,0.8333333333333334,0
walk,0.25,0.48,0.4,0.85,32,32,1.0,1,0.5478711789984322,32,0.5478711789984322,1.0,1.0,0.8645833333333334,0
walk,0.25,0.48,0.4,0.9,32,0,0.0,0,,32,0.5360508966404776,1.0,0.0,0.87548828125,0
walk,0.25,0.48,0.5,0.75,32,0,0.0,0,,32,0.5156348793801069,1.0,0.0,0.7604166666666666,0
walk,0.25,0.48,0.5,0.8,32,32,1.0,1,0.5370186292564778,32,0.5370186292564778,1.0,1.0,0.8333333333333334,0
walk,0.25,0.48,0.5,0.85,32,32,1.0,1,0.5838745799627363,32,0.5838745799627363,1.0,1.0,0.8541666666666667,0
walk,0.25,0.48,0.5,0.9,32,0,0.0,0,,32,0.5555915637006706,1.0,0.0,0.8751627604166666,0
walk,0.3,0.48,0.1,0.75,32,0,0.0,0,,32,0.3746870395891346,1.0,0.0,0.7604166666666666,0
walk,0.3,0.48,0.1,0.8,32,32,1.0,1,0.42467074855031883,32,0.42467074855031883,1.0,1.0,0.8333333333333334,0
walk,0.3,0.48,0.1,0.85,32,32,1.0,1,0.4580717172274137,32,0.4580717172274137,1.0,1.0,0.8541666666666667,0
walk,0.3,0.48,0.1,0.9,32,0,0.0,0,,32,0.43852548929053425,1.0,0.0,0.8854166666666666,0
walk,0.3,0.48,0.2,0.75,32,0,0.0,0,,32,0.3981584417087069,1.0,0.0,0.7604166666666666,0
walk,0.3,0.48,0.2,0.8,32,32,1.0,1,0.4419527770537254,32,0.4419527770537254,1.0,1.0,0.8333333333333334,0
walk,0.3,0.48,0.2,0.85,32,32,1.0,1,0.4575047317195488,32,0.4575047317195488,1.0,1.0,0.875,0
walk,0.3,0.48,0.2,0.9,32,0,0.0,0,,32,0.4492041089152014,1.0,0.0,0.8854166666666666,0
walk,0.3,0.48,0.3,0.75,32,0,0.0,0,,32,0.4238299172642245,1.0,0.0,0.7604166666666666,0
walk,0.3,0.48,0.3,0.8,32,32,1.0,1,0.4632767010943938,32,0.4632767010943938,1.0,1.0,0.8333333333333334,0
walk,0.3,0.48,0.3,0.85,32,32,1.0,1,0.49272098894273353,32,0.49272098894273353,1.0,1.0,0.8645833333333334,0
walk,0.3,0.48,0.3,0.9,32,0,0.0,0,,32,0.47337334252169444,1.0,0.0,0.875,0
