achieved_width_m,command_df,condition,end_time_s,failure,gait,lateral_rmse_m,mean_forward_speed,peak_push_force_n,period,policy,push_envelope_at_end,push_impulse_ns,seed,speed,stance_fraction,step_width,success,timeout,travel_m
0.11471302062273026,0.5,nominal,13.0,0,trot,0.09002362191677094,0.30825307965278625,,0.36,base,,,10000,0.30,0.5307219662058372,0.1,1,0,4.005438327789307
0.11466693878173828,0.5,nominal,13.0,0,trot,0.08230625092983246,0.3082613945007324,,0.36,base,,,10001,0.30,0.5307219662058372,0.1,1,0,4.005331516265869
0.11466799676418304,0.5,nominal,13.0,0,trot,0.09132639318704605,0.3081338405609131,,0.36,base,,,10002,0.30,0.5303379416282642,0.1,1,0,4.003786563873291
0.114683136343956,0.5,nominal,12.98,0,trot,0.08430319279432297,0.3083646297454834,,0.36,base,,,10003,0.30,0.5303846153846153,0.1,1,0,4.000807285308838
0.1146400198340416,0.5,nominal,12.98,0,trot,0.0901339203119278,0.30849483609199524,,0.36,base,,,10004,0.30,0.5307692307692308,0.1,1,0,4.00219202041626
0.11474250257015228,0.5,nominal,13.02,0,trot,0.08972864598035812,0.3078247308731079,,0.36,base,,,10005,0.30,0.5302914110429447,0.1,1,0,4.005617618560791
0.11477571725845337,0.5,nominal,13.0,0,trot,0.08288130909204483,0.30791574716567993,,0.36,base,,,10006,0.30,0.5303379416282642,0.1,1,0,4.000769138336182
0.11464999616146088,0.5,nominal,12.98,0,trot,0.09370357543230057,0.3083968758583069,,0.36,base,,,10007,0.30,0.5307692307692308,0.1,1,0,4.0009942054748535
0.11468102782964706,0.5,nominal,13.0,0,trot,0.08711832761764526,0.30807235836982727,,0.36,base,,,10008,0.30,0.5303379416282642,0.1,1,0,4.003054141998291
0.1146964505314827,0.5,nominal,13.0,0,trot,0.08517396450042725,0.3080856502056122,,0.36,base,,,10009,0.30,0.5307219662058372,0.1,1,0,4.003073215484619
0.11477740854024887,0.5,nominal,13.02,0,trot,0.09319055825471878,0.3078441917896271,,0.36,base,,,10010,0.30,0.5302914110429447,0.1,1,0,4.006117343902588
0.11470659077167511,0.5,nominal,13.0,0,trot,0.08019328862428665,0.30809393525123596,,0.36,base,,,10011,0.30,0.5307219662058372,0.1,1,0,4.003420352935791
0.11477886140346527,0.5,nominal,13.02,0,trot,0.0908081978559494,0.3077802360057831,,0.36,base,,,10012,0.30,0.5302914110429447,0.1,1,0,4.005384922027588
0.11472214013338089,0.5,nominal,13.0,0,trot,0.08453427255153656,0.3080718219280243,,0.36,base,,,10013,0.30,0.5307219662058372,0.1,1,0,4.0028862953186035
0.1147758886218071,0.5,nominal,13.02,0,trot,0.07877190411090851,0.30778080224990845,,0.36,base,,,10014,0.30,0.5302914110429447,0.1,1,0,4.0050835609436035
0.11469542980194092,0.5,nominal,13.0,0,trot,0.09034501016139984,0.308035671710968,,0.36,base,,,10015,0.30,0.5307219662058372,0.1,1,0,4.002569675445557
0.11475807428359985,0.5,nominal,13.02,0,trot,0.08725042641162872,0.30772894620895386,,0.36,base,,,10016,0.30,0.5302914110429447,0.1,1,0,4.004562854766846
0.11469841748476028,0.5,nominal,13.0,0,trot,0.08879577368497849,0.3080917000770569,,0.36,base,,,10017,0.30,0.5303379416282642,0.1,1,0,4.002943515777588
0.11471418291330338,0.5,nominal,13.0,0,trot,0.0888974666595459,0.3080463409423828,,0.36,base,,,10018,0.30,0.5307219662058372,0.1,1,0,4.002584934234619
0.11465727537870407,0.5,nominal,13.0,0,trot,0.08606918156147003,0.30811262130737305,,0.36,base,,,10019,0.30,0.5303379416282642,0.1,1,0,4.003429889678955
0.11477361619472504,0.5,nominal,13.02,0,trot,0.07661671936511993,0.3077258765697479,,0.36,base,,,10020,0.30,0.5302914110429447,0.1,1,0,4.00468111038208
0.11476722359657288,0.5,nominal,13.02,0,trot,0.08890990912914276,0.30784040689468384,,0.36,base,,,10021,0.30,0.5302914110429447,0.1,1,0,4.006170749664307
0.11469361186027527,0.5,nominal,13.0,0,trot,0.07888241112232208,0.30829960107803345,,0.36,base,,,10022,0.30,0.5307219662058372,0.1,1,0,4.005760669708252
0.1146678775548935,0.5,nominal,13.0,0,trot,0.08201303333044052,0.30809485912323,,0.36,base,,,10023,0.30,0.5303379416282642,0.1,1,0,4.003279209136963
0.11480216681957245,0.5,nominal,13.02,0,trot,0.08238358795642853,0.3077300786972046,,0.36,base,,,10024,0.30,0.5302914110429447,0.1,1,0,4.0047125816345215
0.11469489336013794,0.5,nominal,13.0,0,trot,0.07676813006401062,0.3081206679344177,,0.36,base,,,10025,0.30,0.5303379416282642,0.1,1,0,4.003687381744385
0.11465942114591599,0.5,nominal,12.98,0,trot,0.09173469990491867,0.3084983825683594,,0.36,base,,,10026,0.30,0.5307692307692308,0.1,1,0,4.0023722648620605
0.11474951356649399,0.5,nominal,13.0,0,trot,0.09334341436624527,0.3079281747341156,,0.36,base,,,10027,0.30,0.5303379416282642,0.1,1,0,4.00115442276001
0.11475380510091782,0.5,nominal,13.0,0,trot,0.07985594868659973,0.30791211128234863,,0.36,base,,,10028,0.30,0.5303379416282642,0.1,1,0,4.000960826873779
0.11479867994785309,0.5,nominal,13.02,0,trot,0.07538802921772003,0.3077249825000763,,0.36,base,,,10029,0.30,0.5302914110429447,0.1,1,0,4.004642963409424
0.1147458478808403,0.5,nominal,13.0,0,trot,0.08842815458774567,0.307903528213501,,0.36,base,,,10030,0.30,0.5303379416282642,0.1,1,0,4.000887393951416
0.11481108516454697,0.5,nominal,13.02,0,trot,0.08367129415273666,0.30768388509750366,,0.36,base,,,10031,0.30,0.5302914110429447,0.1,1,0,4.004075527191162
0.11465510725975037,0.5,nominal,12.98,0,trot,0.0918164923787117,0.3085310161113739,,0.36,base,,,10032,0.30,0.5307692307692308,0.1,1,0,4.002799034118652
0.11478077620267868,0.5,nominal,13.02,0,trot,0.0809628814458847,0.3077993094921112,,0.36,base,,,10033,0.30,0.5302914110429447,0.1,1,0,4.005563735961914
0.11470506340265274,0.5,nominal,13.0,0,trot,0.08463961631059647,0.30810871720314026,,0.36,base,,,10034,0.30,0.5303379416282642,0.1,1,0,4.003473281860352
0.11480066925287247,0.5,nominal,13.02,0,trot,0.08395412564277649,0.3077095150947571,,0.36,base,,,10035,0.30,0.5302914110429447,0.1,1,0,4.00441312789917
0.11479315906763077,0.5,nominal,13.02,0,trot,0.08470577001571655,0.30776548385620117,,0.36,base,,,10036,0.30,0.5302914110429447,0.1,1,0,4.005170822143555
0.1147167980670929,0.5,nominal,13.0,0,trot,0.09245174378156662,0.3081134855747223,,0.36,base,,,10037,0.30,0.5307219662058372,0.1,1,0,4.003495216369629
0.11466674506664276,0.5,nominal,12.98,0,trot,0.07985827326774597,0.3084412217140198,,0.36,base,,,10038,0.30,0.5307692307692308,0.1,1,0,4.001607894897461
0.11480202525854111,0.5,nominal,13.02,0,trot,0.08963031321763992,0.3077041208744049,,0.36,base,,,10039,0.30,0.5302914110429447,0.1,1,0,4.004379749298096
0.1164952740073204,0.5,nominal,12.96,0,trot,0.07307593524456024,0.3091224133968353,,0.36,base,,,10040,0.30,0.5323574730354391,0.1,1,0,4.005213260650635
0.11469105631113052,0.5,nominal,13.0,0,trot,0.09196552634239197,0.30809345841407776,,0.36,base,,,10041,0.30,0.5303379416282642,0.1,1,0,4.003176212310791
0.11468140035867691,0.5,nominal,13.0,0,trot,0.08574676513671875,0.30814769864082336,,0.36,base,,,10042,0.30,0.5303379416282642,0.1,1,0,4.003929615020752
0.11638034880161285,0.5,nominal,12.94,0,trot,0.07994309812784195,0.3092658221721649,,0.36,base,,,10043,0.30,0.5320216049382716,0.1,1,0,4.000828266143799
0.11468013375997543,0.5,nominal,13.0,0,trot,0.08257050812244415,0.3080735504627228,,0.36,base,,,10044,0.30,0.5303379416282642,0.1,1,0,4.002984523773193
0.11468080431222916,0.5,nominal,13.0,0,trot,0.07838975638151169,0.30819085240364075,,0.36,base,,,10045,0.30,0.5303379416282642,0.1,1,0,4.0045857429504395
0.11470776051282883,0.5,nominal,13.0,0,trot,0.09416966885328293,0.3081003725528717,,0.36,base,,,10046,0.30,0.5307219662058372,0.1,1,0,4.0034098625183105
0.11468241363763809,0.5,nominal,13.0,0,trot,0.09336502104997635,0.3080573081970215,,0.36,base,,,10047,0.30,0.5303379416282642,0.1,1,0,4.002750873565674
0.11467982828617096,0.5,nominal,13.0,0,trot,0.09413912892341614,0.3080407679080963,,0.36,base,,,10048,0.30,0.5303379416282642,0.1,1,0,4.002445697784424
0.11469792574644089,0.5,nominal,13.0,0,trot,0.08343146741390228,0.30808523297309875,,0.36,base,,,10049,0.30,0.5303379416282642,0.1,1,0,4.003176212310791
0.11473587155342102,0.5,nominal,13.0,0,trot,0.08710839599370956,0.30794772505760193,,0.36,base,,,10050,0.30,0.5303379416282642,0.1,1,0,4.001303195953369
0.11475202441215515,0.5,nominal,13.0,0,trot,0.08826576918363571,0.3078276216983795,,0.36,base,,,10051,0.30,0.5303379416282642,0.1,1,0,4.000010013580322
0.11469865590333939,0.5,nominal,13.0,0,trot,0.08841434866189957,0.30809149146080017,,0.36,base,,,10052,0.30,0.5307219662058372,0.1,1,0,4.003078937530518
0.11649847775697708,0.5,nominal,12.96,0,trot,0.07391487807035446,0.30918970704078674,,0.36,base,,,10053,0.30,0.5323574730354391,0.1,1,0,4.006035327911377
0.11641360819339752,0.5,nominal,12.94,0,trot,0.0884871855378151,0.30921244621276855,,0.36,base,,,10054,0.30,0.5320216049382716,0.1,1,0,4.000030994415283
0.11474297940731049,0.5,nominal,13.0,0,trot,0.09155822545289993,0.30786803364753723,,0.36,base,,,10055,0.30,0.5303379416282642,0.1,1,0,4.000202655792236
0.11471050977706909,0.5,nominal,13.0,0,trot,0.0915609821677208,0.30799663066864014,,0.36,base,,,10056,0.30,0.5307219662058372,0.1,1,0,4.001867771148682
0.11470696330070496,0.5,nominal,13.0,0,trot,0.08855430781841278,0.30788490176200867,,0.36,base,,,10057,0.30,0.5303379416282642,0.1,1,0,4.000185489654541
