gait,policy,condition,period,speed,step_width,command_df,trials,success,failure,timeout,success_rate,ci_low,ci_high,mean_travel_m,mean_end_time_s
trot,base,nominal,0.48,0.35,0.1,0.75,64,64,0,0,1.0,0.9433739770288436,1.0,4.003591924905777,11.455312500000002
trot,base,nominal,0.48,0.35,0.2,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.003657057881355,11.399062500000003
trot,base,nominal,0.48,0.35,0.2,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.003276377916336,11.42
trot,base,nominal,0.48,0.35,0.2,0.75,64,64,0,0,1.0,0.9433739770288436,1.0,4.002411484718323,11.560312500000002
trot,base,nominal,0.48,0.35,0.3,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.003277435898781,11.224062499999999
trot,base,nominal,0.48,0.35,0.3,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.00390187650919,11.461250000000001
trot,base,nominal,0.48,0.35,0.3,0.75,64,64,0,0,1.0,0.9433739770288436,1.0,4.002738259732723,11.589374999999997
trot,base,nominal,0.48,0.35,0.4,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.003277085721493,11.239999999999998
trot,base,nominal,0.48,0.35,0.4,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.003280006349087,11.490625000000001
trot,base,nominal,0.48,0.35,0.4,0.75,64,64,0,0,1.0,0.9433739770288436,1.0,4.0027012676000595,11.533437500000002
trot,base,nominal,0.48,0.35,0.5,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.003678567707539,11.2765625
trot,base,nominal,0.48,0.35,0.5,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.003741882741451,11.4290625
trot,base,nominal,0.48,0.35,0.5,0.75,64,64,0,0,1.0,0.9433739770288436,1.0,4.003677032887936,11.604062500000001
trot,base,nominal,0.48,0.40,0.1,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.004789687693119,10.0590625
trot,base,nominal,0.48,0.40,0.1,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.003715671598911,10.059999999999999
trot,base,nominal,0.48,0.40,0.1,0.75,64,64,0,0,1.0,0.9433739770288436,1.0,4.0029032304883,10.100625
trot,base,nominal,0.48,0.40,0.2,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.0053201243281364,10.1371875
trot,base,nominal,0.48,0.40,0.2,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.0033168643713,10.1034375
trot,base,nominal,0.48,0.40,0.2,0.75,64,64,0,0,1.0,0.9433739770288436,1.0,4.0035670548677444,10.155937499999999
trot,base,nominal,0.48,0.40,0.3,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.002843536436558,10.01625
trot,base,nominal,0.48,0.40,0.3,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.004756025969982,10.1334375
trot,base,nominal,0.48,0.40,0.3,0.75,64,64,0,0,1.0,0.9433739770288436,1.0,4.005194894969463,10.149687499999999
