gait,speed,period,step_width,target_df,target_success,target_trials,best_success,best_trials,target_df_ci_low,target_df_ci_high,candidates
trot,0.35,0.48,0.15,0.6,49,64,53,64,0.55,0.7,0.5 0.55 0.6 0.65 0.7 0.75
trot,0.35,0.48,0.2,0.5,61,64,63,64,0.5,0.5,0.5 0.55 0.6 0.65 0.7 0.75
trot,0.35,0.48,0.25,0.5,63,64,64,64,0.5,0.5,0.5 0.55 0.6 0.65 0.7 0.75
trot,0.35,0.48,0.3,0.5,64,64,64,64,0.5,0.5,0.5 0.55 0.6 0.65 0.7 0.75
trot,0.35,0.54,0.1,0.75,11,64,11,64,0.6,0.75,0.5 0.55 0.6 0.65 0.7 0.75
trot,0.35,0.54,0.15,0.6,47,64,52,64,0.6,0.75,0.5 0.55 0.6 0.65 0.7 0.75
trot,0.35,0.54,0.2,0.5,59,64,63,64,0.5,0.55,0.5 0.55 0.6 0.65 0.7 0.75
trot,0.35,0.54,0.25,0.5,63,64,64,64,0.5,0.5,0.5 0.55 0.6 0.65 0.7 0.75
trot,0.35,0.54,0.3,0.5,64,64,64,64,0.5,0.5,0.5 0.55 0.6 0.65 0.7 0.75
trot,0.4,0.36,0.1,0.7,37,64,37,64,0.65,0.7,0.5 0.55 0.6 0.65 0.7
trot,0.4,0.36,0.15,0.55,58,64,61,64,0.5,0.65,0.5 0.55 0.6 0.65 0.7
trot,0.4,0.36,0.2,0.5,64,64,64,64,0.5,0.5,0.5 0.55 0.6 0.65 0.7
trot,0.4,0.36,0.25,0.5,64,64,64,64,0.5,0.5,0.5 0.55 0.6 0.65 0.7
trot,0.4,0.36,0.3,0.5,64,64,64,64,0.5,0.5,0.5 0.55 0.6 0.65 0.7
trot,0.4,0.4,0.1,0.75,28,64,28,64,0.65,0.75,0.5 0.55 0.6 0.65 0.7 0.75
trot,0.4,0.4,0.15,0.65,56,64,59,64,0.55,0.7,0.5 0.55 0.6 0.65 0.7 0.75
trot,0.4,0.4,0.2,0.5,63,64,64,64,0.5,0.5,0.5 0.55 0.6 0.65 0.7 0.75
